gene	ncbi_gene_id	ncbi_protein_id	uniprot_id	description
mtm:MYCTH_2123181	ncbi-geneid:11508985	ncbi-proteinid:XP_003659545	up:G2Q2T3	hypothetical protein
mtm:MYCTH_2123212	ncbi-geneid:11513143	ncbi-proteinid:XP_003659578	up:G2Q2W6	hypothetical protein
mtm:MYCTH_2123216	ncbi-geneid:11505507	ncbi-proteinid:XP_003659581	up:G2Q375	hypothetical protein
mtm:MYCTH_2123217	ncbi-geneid:11505631	ncbi-proteinid:XP_003659582	up:G2Q376	hypothetical protein
mtm:MYCTH_2123230	ncbi-geneid:11509029	ncbi-proteinid:XP_003659593	up:G2Q387	hypothetical protein
mtm:MYCTH_2123265	ncbi-geneid:11508557	ncbi-proteinid:XP_003659626	up:G2Q3C0	hypothetical protein
mtm:MYCTH_2123273	ncbi-geneid:11511634	ncbi-proteinid:XP_003659632	up:G2Q3C6	hypothetical protein
mtm:MYCTH_2123297	ncbi-geneid:11509097	ncbi-proteinid:XP_003659653	up:G2Q3Q5	hypothetical protein
mtm:MYCTH_2123303	ncbi-geneid:11513386	ncbi-proteinid:XP_003659659	up:G2Q3R1	hypothetical protein
mtm:MYCTH_2123311	ncbi-geneid:11508079	ncbi-proteinid:XP_003659666	up:G2Q3R8	hypothetical protein
mtm:MYCTH_2123347	ncbi-geneid:11505470	ncbi-proteinid:XP_003659698	up:G2Q458	hypothetical protein
mtm:MYCTH_2123382	ncbi-geneid:11513344	ncbi-proteinid:XP_003659730	up:G2Q490	glycoside hydrolase family 71 protein
mtm:MYCTH_2123392	ncbi-geneid:11508741	ncbi-proteinid:XP_003659741	up:G2Q4K7	hypothetical protein
mtm:MYCTH_2123395	ncbi-geneid:11508563	ncbi-proteinid:XP_003659742	up:G2Q4K8	hypothetical protein
mtm:MYCTH_2123398	ncbi-geneid:11505501	ncbi-proteinid:XP_003659748	up:G2Q4L4	hypothetical protein
mtm:MYCTH_2123414	ncbi-geneid:11508961	ncbi-proteinid:XP_003659764	up:G2Q4N0	hypothetical protein
mtm:MYCTH_2123451	ncbi-geneid:11505546	ncbi-proteinid:XP_003659794	up:G2Q511	hypothetical protein
mtm:MYCTH_2123458	ncbi-geneid:11505721	ncbi-proteinid:XP_003659800	up:G2Q517	hypothetical protein
mtm:MYCTH_2123495	ncbi-geneid:11511679	ncbi-proteinid:XP_003659840	up:G2Q557	hypothetical protein
mtm:MYCTH_2123512	ncbi-geneid:11505997	ncbi-proteinid:XP_003659855	up:G2Q5H7	hypothetical protein
mtm:MYCTH_2123530	ncbi-geneid:11513102	ncbi-proteinid:XP_003659872	up:G2Q5J4	hypothetical protein
mtm:MYCTH_2123570	ncbi-geneid:11509163	ncbi-proteinid:XP_003659912	up:G2Q5Z0	hypothetical protein
mtm:MYCTH_2123653	ncbi-geneid:11505391	ncbi-proteinid:XP_003659990	up:G2Q6H3	hypothetical protein
mtm:MYCTH_2123684	ncbi-geneid:11513196	ncbi-proteinid:XP_003660020	up:G2Q6Z5	hypothetical protein
mtm:MYCTH_2123711	ncbi-geneid:11508464	ncbi-proteinid:XP_003660045	up:G2Q720	hypothetical protein
mtm:MYCTH_2123876	ncbi-geneid:11513356	ncbi-proteinid:XP_003660193	up:G2Q149	hypothetical protein
mtm:MYCTH_2123911	ncbi-geneid:11508248	ncbi-proteinid:XP_003660228	up:G2Q1J2	hypothetical protein
mtm:MYCTH_2123928	ncbi-geneid:11508255	ncbi-proteinid:XP_003660243	up:G2Q1K7	hypothetical protein
mtm:MYCTH_2123955	ncbi-geneid:11511600	ncbi-proteinid:XP_003660271	up:G2Q1N5	hypothetical protein
mtm:MYCTH_2123970	ncbi-geneid:11513134	ncbi-proteinid:XP_003660283	up:G2Q205	hypothetical protein
mtm:MYCTH_2124049	ncbi-geneid:11508026	ncbi-proteinid:XP_003660359	up:G2Q2I9	hypothetical protein
mtm:MYCTH_2124085	ncbi-geneid:11513082	ncbi-proteinid:XP_003660392	up:G2Q2Y0	hypothetical protein
mtm:MYCTH_2124094	ncbi-geneid:11506024	ncbi-proteinid:XP_003660401	up:G2Q2Y9	hypothetical protein
mtm:MYCTH_2124155	ncbi-geneid:11508959	ncbi-proteinid:XP_003660463	up:G2Q3F8	hypothetical protein
mtm:MYCTH_2124177	ncbi-geneid:11508298	ncbi-proteinid:XP_003660483	up:G2Q3H8	hypothetical protein
mtm:MYCTH_2124179	ncbi-geneid:11508292	ncbi-proteinid:XP_003660485	up:G2Q3I0	hypothetical protein
mtm:MYCTH_2124216	ncbi-geneid:11512885	ncbi-proteinid:XP_003660524	up:G2Q3X6	hypothetical protein
mtm:MYCTH_2124220	ncbi-geneid:11512898	ncbi-proteinid:XP_003660528	up:G2Q3Y0	hypothetical protein
mtm:MYCTH_2124224	ncbi-geneid:11512906	ncbi-proteinid:XP_003660532	up:G2Q3Y4	hypothetical protein
mtm:MYCTH_2124283	ncbi-geneid:11508277	ncbi-proteinid:XP_003660592	up:G2Q4F2	hypothetical protein
mtm:MYCTH_2124399	ncbi-geneid:11513216	ncbi-proteinid:XP_003660707	up:G2Q5M6	glycoside hydrolase family 17 protein
mtm:MYCTH_2124418	ncbi-geneid:11508318	ncbi-proteinid:XP_003660724	up:G2Q5P3	hypothetical protein
mtm:MYCTH_2124443	ncbi-geneid:11509197	ncbi-proteinid:XP_003660749	up:G2Q5R8	hypothetical protein
mtm:MYCTH_2124479	ncbi-geneid:11513266	ncbi-proteinid:XP_003660782	up:G2Q658	hypothetical protein
mtm:MYCTH_2124482	ncbi-geneid:11513364	ncbi-proteinid:XP_003660785	up:G2Q661	hypothetical protein
mtm:MYCTH_2124493	ncbi-geneid:11505715	ncbi-proteinid:XP_003660795	up:G2Q671	hypothetical protein
mtm:MYCTH_2124505	ncbi-geneid:11513195	ncbi-proteinid:XP_003660804	up:G2Q680	hypothetical protein
mtm:MYCTH_2124533	ncbi-geneid:11513159	ncbi-proteinid:XP_003660831	up:G2Q6L3	hypothetical protein
mtm:MYCTH_2124537	ncbi-geneid:11513182	ncbi-proteinid:XP_003660836	up:G2Q6L8	hypothetical protein
mtm:MYCTH_2124607	ncbi-geneid:11508777	ncbi-proteinid:XP_003660900	up:G2Q777	hypothetical protein
mtm:MYCTH_2124653	ncbi-geneid:11508325	ncbi-proteinid:XP_003660940	up:G2PZK9	hypothetical protein
mtm:MYCTH_2124673	ncbi-geneid:11508472	ncbi-proteinid:XP_003660961	up:G2PZN0	hypothetical protein
mtm:MYCTH_2124691	ncbi-geneid:11505833	ncbi-proteinid:XP_003660980	up:G2Q061	hypothetical protein
mtm:MYCTH_2124694	ncbi-geneid:11511630	ncbi-proteinid:XP_003660983	up:G2Q064	hypothetical protein
mtm:MYCTH_2124700	ncbi-geneid:11505748	ncbi-proteinid:XP_003660988	up:G2Q069	hypothetical protein
mtm:MYCTH_2124711	ncbi-geneid:11505720	ncbi-proteinid:XP_003661001	up:G2Q082	hypothetical protein
mtm:MYCTH_2124737	ncbi-geneid:11511738	ncbi-proteinid:XP_003661031	up:G2QA38	hypothetical protein
mtm:MYCTH_2124742	ncbi-geneid:11511743	ncbi-proteinid:XP_003661036	up:G2QA43	hypothetical protein
mtm:MYCTH_2124743	ncbi-geneid:11511744	ncbi-proteinid:XP_003661037	up:G2QA44	hypothetical protein
mtm:MYCTH_2124750	ncbi-geneid:11511706	ncbi-proteinid:XP_003661044	up:G2QA51	hypothetical protein
mtm:MYCTH_2124828	ncbi-geneid:11511788	ncbi-proteinid:XP_003661109	up:G2QAG8	hypothetical protein
mtm:MYCTH_2124857	ncbi-geneid:11511819	ncbi-proteinid:XP_003661140	up:G2QAQ3	hypothetical protein
mtm:MYCTH_2124880	ncbi-geneid:11511843	ncbi-proteinid:XP_003661164	up:G2QAS7	hypothetical protein
mtm:MYCTH_2124896	ncbi-geneid:11511856	ncbi-proteinid:XP_003661177	up:G2QAU0	hypothetical protein
mtm:MYCTH_2124903	ncbi-geneid:11511861	ncbi-proteinid:XP_003661182	up:G2QAU5	hypothetical protein
mtm:MYCTH_2124936	ncbi-geneid:11511893	ncbi-proteinid:XP_003661214	up:G2QB31	hypothetical protein
mtm:MYCTH_2124937	ncbi-geneid:11511894	ncbi-proteinid:XP_003661215	up:G2QB32	hypothetical protein
mtm:MYCTH_2124971	ncbi-geneid:11511924	ncbi-proteinid:XP_003661245	up:G2Q789	hypothetical protein
mtm:MYCTH_2124981	ncbi-geneid:11511934	ncbi-proteinid:XP_003661255	up:G2Q799	hypothetical protein
mtm:MYCTH_2124996	ncbi-geneid:11511950	ncbi-proteinid:XP_003661271	up:G2Q7B5	hypothetical protein
mtm:MYCTH_2125016	ncbi-geneid:11511971	ncbi-proteinid:XP_003661292	up:G2Q7D6	hypothetical protein
mtm:MYCTH_2125036	ncbi-geneid:11511991	ncbi-proteinid:XP_003661312	up:G2Q7K9	hypothetical protein
mtm:MYCTH_2125110	ncbi-geneid:11512069	ncbi-proteinid:XP_003661390	up:G2Q7Y8	hypothetical protein
mtm:MYCTH_2125134	ncbi-geneid:11512097	ncbi-proteinid:XP_003661418	up:G2Q870	hypothetical protein
mtm:MYCTH_2125144	ncbi-geneid:11512105	ncbi-proteinid:XP_003661426	up:G2Q878	hypothetical protein
mtm:MYCTH_2125169	ncbi-geneid:11512129	ncbi-proteinid:XP_003661450	up:G2Q8A2	hypothetical protein
mtm:MYCTH_2125192	ncbi-geneid:11512153	ncbi-proteinid:XP_003661474	up:G2Q8I0	hypothetical protein
mtm:MYCTH_2125197	ncbi-geneid:11512158	ncbi-proteinid:XP_003661479	up:G2Q8I5	hypothetical protein
mtm:MYCTH_2125234	ncbi-geneid:11510322	ncbi-proteinid:XP_003661517	up:G2Q8S7	hypothetical protein
mtm:MYCTH_2125251	ncbi-geneid:11510337	ncbi-proteinid:XP_003661532	up:G2Q8U2	hypothetical protein
mtm:MYCTH_2125279	ncbi-geneid:11510365	ncbi-proteinid:XP_003661560	up:G2Q8X0	hypothetical protein
mtm:MYCTH_2125321	ncbi-geneid:11510406	ncbi-proteinid:XP_003661601	up:G2Q964	hypothetical protein
mtm:MYCTH_2125404	ncbi-geneid:11510481	ncbi-proteinid:XP_003661676	up:G2Q9H2	hypothetical protein
mtm:MYCTH_2125469	ncbi-geneid:11510547	ncbi-proteinid:XP_003661742	up:G2Q9N8	hypothetical protein
mtm:MYCTH_2125509	ncbi-geneid:11510585	ncbi-proteinid:XP_003661780	up:G2Q9S6	hypothetical protein
mtm:MYCTH_2125560	ncbi-geneid:11510624	ncbi-proteinid:XP_003661819	up:G2Q9W5	hypothetical protein
mtm:MYCTH_2125565	ncbi-geneid:11512524	ncbi-proteinid:XP_003661823	up:G2Q9W9	hypothetical protein
mtm:MYCTH_2125573	ncbi-geneid:11510639	ncbi-proteinid:XP_003661834	up:G2Q9Y5	hypothetical protein
mtm:MYCTH_2125577	ncbi-geneid:11510643	ncbi-proteinid:XP_003661838	up:G2Q9Y9	hypothetical protein
mtm:MYCTH_2125585	ncbi-geneid:11510651	ncbi-proteinid:XP_003661846	up:G2Q9Z7	hypothetical protein
mtm:MYCTH_2125592	ncbi-geneid:11510658	ncbi-proteinid:XP_003661853	up:G2QA04	hypothetical protein
mtm:MYCTH_2125728	ncbi-geneid:11510793	ncbi-proteinid:XP_003661988	up:G2QAP7	hypothetical protein
mtm:MYCTH_2125822	ncbi-geneid:11510885	ncbi-proteinid:XP_003662080	up:G2QB96	hypothetical protein
mtm:MYCTH_2125843	ncbi-geneid:11510906	ncbi-proteinid:XP_003662101	up:G2Q7E3	hypothetical protein
mtm:MYCTH_2125853	ncbi-geneid:11510916	ncbi-proteinid:XP_003662111	up:G2Q7F3	hypothetical protein
mtm:MYCTH_2125854	ncbi-geneid:11512165	ncbi-proteinid:XP_003662112	up:G2Q7F4	hypothetical protein
mtm:MYCTH_2125911	ncbi-geneid:11512218	ncbi-proteinid:XP_003662165	up:G2Q7R1	hypothetical protein
mtm:MYCTH_2125938	ncbi-geneid:11512245	ncbi-proteinid:XP_003662192	up:G2Q7T8	glycoside hydrolase family 10 protein
mtm:MYCTH_2125944	ncbi-geneid:11512253	ncbi-proteinid:XP_003662200	up:G2Q7U6	hypothetical protein
mtm:MYCTH_2125965	ncbi-geneid:11512274	ncbi-proteinid:XP_003662221	up:G2Q819	hypothetical protein
mtm:MYCTH_2125988	ncbi-geneid:11512299	ncbi-proteinid:XP_003662246	up:G2Q844	hypothetical protein
mtm:MYCTH_2126094	ncbi-geneid:11512407	ncbi-proteinid:XP_003662354	up:G2Q8R0	hypothetical protein
mtm:MYCTH_2126111	ncbi-geneid:11512427	ncbi-proteinid:XP_003662374	up:G2Q8Y4	hypothetical protein
mtm:MYCTH_2126152	ncbi-geneid:11512465	ncbi-proteinid:XP_003662412	up:G2Q923	hypothetical protein
mtm:MYCTH_2126239	ncbi-geneid:11512549	ncbi-proteinid:XP_003662488	up:G2QC16	hypothetical protein
mtm:MYCTH_2126246	ncbi-geneid:11512573	ncbi-proteinid:XP_003662497	up:G2QC25	hypothetical protein
mtm:MYCTH_2126285	ncbi-geneid:11512607	ncbi-proteinid:XP_003662531	up:G2QCB1	hypothetical protein
mtm:MYCTH_2126287	ncbi-geneid:11512609	ncbi-proteinid:XP_003662533	up:G2QCB3	hypothetical protein
mtm:MYCTH_2126295	ncbi-geneid:11512616	ncbi-proteinid:XP_003662540	up:G2QCC0	hypothetical protein
mtm:MYCTH_2126322	ncbi-geneid:11512641	ncbi-proteinid:XP_003662565	up:G2QCJ7	hypothetical protein
mtm:MYCTH_2126499	ncbi-geneid:11507367	ncbi-proteinid:XP_003662741	up:G2QDI4	hypothetical protein
mtm:MYCTH_2126511	ncbi-geneid:11507380	ncbi-proteinid:XP_003662754	up:G2QDJ7	hypothetical protein
mtm:MYCTH_2126533	ncbi-geneid:11507402	ncbi-proteinid:XP_003662776	up:G2QDL9	hypothetical protein
mtm:MYCTH_2126562	ncbi-geneid:11507430	ncbi-proteinid:XP_003662804	up:G2QDV0	hypothetical protein
mtm:MYCTH_2126564	ncbi-geneid:11507432	ncbi-proteinid:XP_003662806	up:G2QDV2	hypothetical protein
mtm:MYCTH_2126592	ncbi-geneid:11507461	ncbi-proteinid:XP_003662835	up:G2QE07	hypothetical protein
mtm:MYCTH_2126595	ncbi-geneid:11507464	ncbi-proteinid:XP_003662838	up:G2QE10	hypothetical protein
mtm:MYCTH_2126672	ncbi-geneid:11507542	ncbi-proteinid:XP_003662916	up:G2QE88	hypothetical protein
mtm:MYCTH_2126704	ncbi-geneid:11507575	ncbi-proteinid:XP_003662949	up:G2QEC1	hypothetical protein
mtm:MYCTH_2126733	ncbi-geneid:11507604	ncbi-proteinid:XP_003662978	up:G2QEF0	hypothetical protein
mtm:MYCTH_2126754	ncbi-geneid:11507628	ncbi-proteinid:XP_003663002	up:G2QEH4	hypothetical protein
mtm:MYCTH_2126809	ncbi-geneid:11507680	ncbi-proteinid:XP_003663054	up:G2QEM6	hypothetical protein
mtm:MYCTH_2126860	ncbi-geneid:11507726	ncbi-proteinid:XP_003663100	up:G2QES2	hypothetical protein
mtm:MYCTH_2126876	ncbi-geneid:11507742	ncbi-proteinid:XP_003663116	up:G2QBC8	hypothetical protein
mtm:MYCTH_2126894	ncbi-geneid:11507761	ncbi-proteinid:XP_003663135	up:G2QBE7	hypothetical protein
mtm:MYCTH_2126919	ncbi-geneid:11507774	ncbi-proteinid:XP_003663148	up:G2QBG0	hypothetical protein
mtm:MYCTH_2126943	ncbi-geneid:11507796	ncbi-proteinid:XP_003663170	up:G2QBI2	hypothetical protein
mtm:MYCTH_2126948	ncbi-geneid:11507801	ncbi-proteinid:XP_003663175	up:G2QBI7	hypothetical protein
mtm:MYCTH_2126987	ncbi-geneid:11507837	ncbi-proteinid:XP_003663211	up:G2QBM3	hypothetical protein
mtm:MYCTH_2126992	ncbi-geneid:11507842	ncbi-proteinid:XP_003663216	up:G2QBM8	hypothetical protein
mtm:MYCTH_2127031	ncbi-geneid:11507879	ncbi-proteinid:XP_003663253	up:G2QBR5	hypothetical protein
mtm:MYCTH_2127034	ncbi-geneid:11507882	ncbi-proteinid:XP_003663256	up:G2QBR8	hypothetical protein
mtm:MYCTH_2127135	ncbi-geneid:11509230	ncbi-proteinid:XP_003663352	up:G2QC78	hypothetical protein
mtm:MYCTH_2127139	ncbi-geneid:11509234	ncbi-proteinid:XP_003663356	up:G2QC82	hypothetical protein
mtm:MYCTH_2127147	ncbi-geneid:11509242	ncbi-proteinid:XP_003663364	up:G2QC90	hypothetical protein
mtm:MYCTH_2127191	ncbi-geneid:11509286	ncbi-proteinid:XP_003663408	up:G2QCI7	hypothetical protein
mtm:MYCTH_2127197	ncbi-geneid:11509290	ncbi-proteinid:XP_003663412	up:G2QCJ1	hypothetical protein
mtm:MYCTH_2127263	ncbi-geneid:11509427	ncbi-proteinid:XP_003663471	up:G2QD08	hypothetical protein
mtm:MYCTH_2127280	ncbi-geneid:11509444	ncbi-proteinid:XP_003663488	up:G2QD25	hypothetical protein
mtm:MYCTH_2127287	ncbi-geneid:11509529	ncbi-proteinid:XP_003663495	up:G2QD32	hypothetical protein
mtm:MYCTH_2127338	ncbi-geneid:11509577	ncbi-proteinid:XP_003663543	up:G2QDD3	hypothetical protein
mtm:MYCTH_2127358	ncbi-geneid:11509601	ncbi-proteinid:XP_003663567	up:G2QDF7	hypothetical protein
mtm:MYCTH_2127362	ncbi-geneid:11509605	ncbi-proteinid:XP_003663571	up:G2QDG1	hypothetical protein
mtm:MYCTH_2127404	ncbi-geneid:11509720	ncbi-proteinid:XP_003663608	up:G2QDQ2	hypothetical protein
mtm:MYCTH_2127410	ncbi-geneid:11509726	ncbi-proteinid:XP_003663614	up:G2QDQ8	hypothetical protein
mtm:MYCTH_2127454	ncbi-geneid:11509902	ncbi-proteinid:XP_003663662	up:G2QFJ5	hypothetical protein
mtm:MYCTH_2127456	ncbi-geneid:11509904	ncbi-proteinid:XP_003663664	up:G2QFJ7	hypothetical protein
mtm:MYCTH_2127482	ncbi-geneid:11509882	ncbi-proteinid:XP_003663686	up:G2QFS3	hypothetical protein
mtm:MYCTH_2127519	ncbi-geneid:11510014	ncbi-proteinid:XP_003663724	up:G2QG14	hypothetical protein
mtm:MYCTH_2127524	ncbi-geneid:11510019	ncbi-proteinid:XP_003663729	up:G2QG19	hypothetical protein
mtm:MYCTH_2127554	ncbi-geneid:11510049	ncbi-proteinid:XP_003663759	up:G2QG49	hypothetical protein
mtm:MYCTH_2127585	ncbi-geneid:11510135	ncbi-proteinid:XP_003663785	up:G2QGC6	hypothetical protein
mtm:MYCTH_2127657	ncbi-geneid:11510206	ncbi-proteinid:XP_003663856	up:G2QGP9	hypothetical protein
mtm:MYCTH_2127665	ncbi-geneid:11510213	ncbi-proteinid:XP_003663863	up:G2QGQ6	hypothetical protein
mtm:MYCTH_2127673	ncbi-geneid:11510219	ncbi-proteinid:XP_003663869	up:G2QGR2	hypothetical protein
mtm:MYCTH_2127683	ncbi-geneid:11510226	ncbi-proteinid:XP_003663876	up:G2QGR9	glycoside hydrolase family 43 protein
mtm:MYCTH_2127689	ncbi-geneid:11510232	ncbi-proteinid:XP_003663882	up:G2QGX7	hypothetical protein
mtm:MYCTH_2127750	ncbi-geneid:11506421	ncbi-proteinid:XP_003663946	up:G2QH41	hypothetical protein
mtm:MYCTH_2127753	ncbi-geneid:11513425	ncbi-proteinid:XP_003663950	up:G2QH45	hypothetical protein
mtm:MYCTH_2127797	ncbi-geneid:11513467	ncbi-proteinid:XP_003663992	up:G2QH87	hypothetical protein
mtm:MYCTH_2127818	ncbi-geneid:11513486	ncbi-proteinid:XP_003664011	up:G2QHA6	hypothetical protein
mtm:MYCTH_2127855	ncbi-geneid:11513599	ncbi-proteinid:XP_003664046	up:G2QHE1	hypothetical protein
mtm:MYCTH_2127928	ncbi-geneid:11513752	ncbi-proteinid:XP_003664121	up:G2QHL6	hypothetical protein
mtm:MYCTH_2127963	ncbi-geneid:11513786	ncbi-proteinid:XP_003664155	up:G2QHQ0	hypothetical protein
mtm:MYCTH_2127975	ncbi-geneid:11513798	ncbi-proteinid:XP_003664167	up:G2QHR2	hypothetical protein
mtm:MYCTH_2128009	ncbi-geneid:11513911	ncbi-proteinid:XP_003664202	up:G2QES8	hypothetical protein
mtm:MYCTH_2128027	ncbi-geneid:11513929	ncbi-proteinid:XP_003664220	up:G2QEU6	hypothetical protein
mtm:MYCTH_2128242	ncbi-geneid:11514372	ncbi-proteinid:XP_003664429	up:G2QFF5	hypothetical protein
mtm:MYCTH_2128270	ncbi-geneid:11514403	ncbi-proteinid:XP_003664460	up:G2QFI6	hypothetical protein
mtm:MYCTH_2128358	ncbi-geneid:11514569	ncbi-proteinid:XP_003664548	up:G2QFZ0	hypothetical protein
mtm:MYCTH_2128361	ncbi-geneid:11514574	ncbi-proteinid:XP_003664553	up:G2QFZ5	hypothetical protein
mtm:MYCTH_2128368	ncbi-geneid:11514581	ncbi-proteinid:XP_003664560	up:G2QG02	hypothetical protein
mtm:MYCTH_2128378	ncbi-geneid:11506097	ncbi-proteinid:XP_003664569	up:G2QG11	hypothetical protein
mtm:MYCTH_2128383	ncbi-geneid:11506435	ncbi-proteinid:XP_003664574	up:G2QG69	hypothetical protein
mtm:MYCTH_2128390	ncbi-geneid:11506108	ncbi-proteinid:XP_003664580	up:G2QG75	hypothetical protein
mtm:MYCTH_2128401	ncbi-geneid:11506120	ncbi-proteinid:XP_003664592	up:G2QG87	hypothetical protein
mtm:MYCTH_2128417	ncbi-geneid:11506137	ncbi-proteinid:XP_003664609	up:G2QGA4	hypothetical protein
mtm:MYCTH_2128477	ncbi-geneid:11506269	ncbi-proteinid:XP_003664663	up:G2QGK8	hypothetical protein
mtm:MYCTH_2128478	ncbi-geneid:11506270	ncbi-proteinid:XP_003664664	up:G2QGK9	hypothetical protein
mtm:MYCTH_2128489	ncbi-geneid:11506282	ncbi-proteinid:XP_003664676	up:G2QGS4	hypothetical protein
mtm:MYCTH_2128494	ncbi-geneid:11506284	ncbi-proteinid:XP_003664678	up:G2QGS6	hypothetical protein
mtm:MYCTH_2128527	ncbi-geneid:11506319	ncbi-proteinid:XP_003664713	up:G2QGW1	hypothetical protein
mtm:MYCTH_2128529	ncbi-geneid:11506321	ncbi-proteinid:XP_003664715	up:G2QGW3	hypothetical protein
mtm:MYCTH_2128538	ncbi-geneid:11506408	ncbi-proteinid:XP_003664724	up:G2QGX2	hypothetical protein
mtm:MYCTH_2128552	ncbi-geneid:11506561	ncbi-proteinid:XP_003664738	up:G2QIB2	hypothetical protein
mtm:MYCTH_2128565	ncbi-geneid:11506449	ncbi-proteinid:XP_003664751	up:G2QIH4	hypothetical protein
mtm:MYCTH_2128593	ncbi-geneid:11506570	ncbi-proteinid:XP_003664776	up:G2QIK0	hypothetical protein
mtm:MYCTH_2128594	ncbi-geneid:11506571	ncbi-proteinid:XP_003664777	up:G2QIK1	hypothetical protein
mtm:MYCTH_2128605	ncbi-geneid:11506582	ncbi-proteinid:XP_003664788	up:G2QIL2	hypothetical protein
mtm:MYCTH_2128625	ncbi-geneid:11506600	ncbi-proteinid:XP_003664806	up:G2QIT3	hypothetical protein
mtm:MYCTH_2128634	ncbi-geneid:11506605	ncbi-proteinid:XP_003664811	up:G2QIT8	hypothetical protein
mtm:MYCTH_2128639	ncbi-geneid:11506609	ncbi-proteinid:XP_003664815	up:G2QIU2	hypothetical protein
mtm:MYCTH_2128640	ncbi-geneid:11506610	ncbi-proteinid:XP_003664816	up:G2QIU3	hypothetical protein
mtm:MYCTH_2128653	ncbi-geneid:11506622	ncbi-proteinid:XP_003664828	up:G2QIV5	hypothetical protein
mtm:MYCTH_2128656	ncbi-geneid:11506625	ncbi-proteinid:XP_003664831	up:G2QIV8	hypothetical protein
mtm:MYCTH_2128658	ncbi-geneid:11506627	ncbi-proteinid:XP_003664833	up:G2QIW0	hypothetical protein
mtm:MYCTH_2128682	ncbi-geneid:11506720	ncbi-proteinid:XP_003664848	up:G2QJ28	hypothetical protein
mtm:MYCTH_2128713	ncbi-geneid:11506748	ncbi-proteinid:XP_003664876	up:G2QJ56	hypothetical protein
mtm:MYCTH_2128726	ncbi-geneid:11506761	ncbi-proteinid:XP_003664889	up:G2QJ69	hypothetical protein
mtm:MYCTH_2128762	ncbi-geneid:11506875	ncbi-proteinid:XP_003664925	up:G2QJC3	hypothetical protein
mtm:MYCTH_2128775	ncbi-geneid:11506886	ncbi-proteinid:XP_003664936	up:G2QJD4	hypothetical protein
mtm:MYCTH_2128790	ncbi-geneid:11506900	ncbi-proteinid:XP_003664950	up:G2QJE8	hypothetical protein
mtm:MYCTH_2128843	ncbi-geneid:11507033	ncbi-proteinid:XP_003665005	up:G2QJK3	hypothetical protein
mtm:MYCTH_2128856	ncbi-geneid:11507048	ncbi-proteinid:XP_003665020	up:G2QJL8	hypothetical protein
mtm:MYCTH_2128866	ncbi-geneid:11507060	ncbi-proteinid:XP_003665032	up:G2QJN0	hypothetical protein
mtm:MYCTH_2128874	ncbi-geneid:11507066	ncbi-proteinid:XP_003665038	up:G2QJN6	hypothetical protein
mtm:MYCTH_2128884	ncbi-geneid:11507073	ncbi-proteinid:XP_003665045	up:G2QJP3	hypothetical protein
mtm:MYCTH_2128965	ncbi-geneid:11507224	ncbi-proteinid:XP_003665118	up:G2QJW7	hypothetical protein
mtm:MYCTH_2128968	ncbi-geneid:11507227	ncbi-proteinid:XP_003665121	up:G2QJX0	hypothetical protein
mtm:MYCTH_2128969	ncbi-geneid:11511496	ncbi-proteinid:XP_003665122	up:G2QJX1	hypothetical protein
mtm:MYCTH_2128976	ncbi-geneid:11507235	ncbi-proteinid:XP_003665129	up:G2QJX8	hypothetical protein
mtm:MYCTH_2129017	ncbi-geneid:11510925	ncbi-proteinid:XP_003665165	up:G2QK14	hypothetical protein
mtm:MYCTH_2129052	ncbi-geneid:11510957	ncbi-proteinid:XP_003665197	up:G2QK46	glycoside hydrolase family 3 protein
mtm:MYCTH_2129148	ncbi-geneid:11511060	ncbi-proteinid:XP_003665300	up:G2QKE9	hypothetical protein
mtm:MYCTH_2129150	ncbi-geneid:11511062	ncbi-proteinid:XP_003665302	up:G2QKF1	hypothetical protein
mtm:MYCTH_2129154	ncbi-geneid:11511065	ncbi-proteinid:XP_003665305	up:G2QKF4	hypothetical protein
mtm:MYCTH_2129155	ncbi-geneid:11511066	ncbi-proteinid:XP_003665306	up:G2QKF5	hypothetical protein
mtm:MYCTH_2129170	ncbi-geneid:11511081	ncbi-proteinid:XP_003665321	up:G2QKH0	hypothetical protein
mtm:MYCTH_2129201	ncbi-geneid:11511114	ncbi-proteinid:XP_003665354	up:G2QKK3	hypothetical protein
mtm:MYCTH_2129202	ncbi-geneid:11511115	ncbi-proteinid:XP_003665355	up:G2QKK4	hypothetical protein
mtm:MYCTH_2129215	ncbi-geneid:11511127	ncbi-proteinid:XP_003665367	up:G2QKL6	hypothetical protein
mtm:MYCTH_2129342	ncbi-geneid:11511258	ncbi-proteinid:XP_003665498	up:G2QI64	hypothetical protein
mtm:MYCTH_2129362	ncbi-geneid:11511277	ncbi-proteinid:XP_003665517	up:G2QI83	hypothetical protein
mtm:MYCTH_2129368	ncbi-geneid:11511284	ncbi-proteinid:XP_003665524	up:G2QI90	hypothetical protein
mtm:MYCTH_2129372	ncbi-geneid:11511288	ncbi-proteinid:XP_003665528	up:G2QI94	hypothetical protein
mtm:MYCTH_2129393	ncbi-geneid:11511491	ncbi-proteinid:XP_003665545	up:G2QIC6	hypothetical protein
mtm:MYCTH_2129400	ncbi-geneid:11511490	ncbi-proteinid:XP_003665553	up:G2QID4	hypothetical protein
mtm:MYCTH_2129404	ncbi-geneid:11511316	ncbi-proteinid:XP_003665556	up:G2QID7	hypothetical protein
