PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"6219290","Cell wall degradation in the autolysis of filamentous fungi","Perez-Leblic MI, Reyes F, Martinez MJ, Lahoz R.","Mycopathologia. 1982 Dec 27;80(3):147-55. doi: 10.1007/BF00437577.","Perez-Leblic MI","Mycopathologia","1982","1982/12/27","","","10.1007/BF00437577"
"239750","Neurospora crassa invertase. A study of amino acids at the active center","Bigger CH, Braymer HD.","Biochim Biophys Acta. 1975 Aug 26;397(2):418-27. doi: 10.1016/0005-2744(75)90131-x.","Bigger CH","Biochim Biophys Acta","1975","1975/08/26","","","10.1016/0005-2744(75)90131-x"
"1833766","RNA-mediated ligation of self-cleavage products of a Neurospora mitochondrial plasmid transcript","Saville BJ, Collins RA.","Proc Natl Acad Sci U S A. 1991 Oct 1;88(19):8826-30. doi: 10.1073/pnas.88.19.8826.","Saville BJ","Proc Natl Acad Sci U S A","1991","1991/10/01","PMC52603","","10.1073/pnas.88.19.8826"
"4261078","Interspecies aminoacylation of transfer ribonucleic acid from several higher plants, Neurospora, yeast and Excherichia coli","Vanderhoef LN, Travis RL, Murray MG, Key JL.","Biochim Biophys Acta. 1972 May 29;269(3):413-8. doi: 10.1016/0005-2787(72)90128-1.","Vanderhoef LN","Biochim Biophys Acta","1972","1972/05/29","","","10.1016/0005-2787(72)90128-1"
"25880035","Inferring bona fide transfrags in RNA-Seq derived-transcriptome assemblies of non-model organisms","Mbandi SK, Hesse U, van Heusden P, Christoffels A.","BMC Bioinformatics. 2015 Feb 21;16(1):58. doi: 10.1186/s12859-015-0492-5.","Mbandi SK","BMC Bioinformatics","2015","2015/04/17","PMC4344733","","10.1186/s12859-015-0492-5"
"10618405","Circadian rhythms in Neurospora crassa: lipid deficiencies restore robust rhythmicity to null frequency and white-collar mutants","Lakin-Thomas PL, Brody S.","Proc Natl Acad Sci U S A. 2000 Jan 4;97(1):256-61. doi: 10.1073/pnas.97.1.256.","Lakin-Thomas PL","Proc Natl Acad Sci U S A","2000","2000/01/05","PMC26650","","10.1073/pnas.97.1.256"
"22504884","Heterochromatin protein 1 forms distinct complexes to direct histone deacetylation and DNA methylation","Honda S, Lewis ZA, Shimada K, Fischle W, Sack R, Selker EU.","Nat Struct Mol Biol. 2012 Apr 15;19(5):471-7, S1. doi: 10.1038/nsmb.2274.","Honda S","Nat Struct Mol Biol","2012","2012/04/17","PMC4957970","NIHMS802338","10.1038/nsmb.2274"
"14213341","PHOSPHOLIPID VARIATIONS IN MUTANT STRAINS OF NEUROSPORA CRASSA","CROCKEN BJ, NYC JF.","J Biol Chem. 1964 Jun;239:1727-30.","CROCKEN BJ","J Biol Chem","1964","1964/06/01","","",""
"14417247","[o-carboxyanilino]-1-desoxyfructose in a medium of a Neurospora crassa mutant]","LINGENS F, KERN S.","Hoppe Seylers Z Physiol Chem. 1960 Feb 22;318:56-8. doi: 10.1515/bchm2.1960.318.1.56.","LINGENS F","Hoppe Seylers Z Physiol Chem","1960","1960/02/22","","","10.1515/bchm2.1960.318.1.56"
"29463750","Light-activated protein interaction with high spatial subcellular confinement","Benedetti L, Barentine AES, Messa M, Wheeler H, Bewersdorf J, De Camilli P.","Proc Natl Acad Sci U S A. 2018 Mar 6;115(10):E2238-E2245. doi: 10.1073/pnas.1713845115. Epub 2018 Feb 20.","Benedetti L","Proc Natl Acad Sci U S A","2018","2018/02/22","PMC5877946","","10.1073/pnas.1713845115"
"2904434","The fluorescein isothiocyanate-binding site of the plasma-membrane H+-ATPase of Neurospora crassa","Pardo JP, Slayman CW.","J Biol Chem. 1988 Dec 15;263(35):18664-8.","Pardo JP","J Biol Chem","1988","1988/12/15","","",""
"158747","Rapid RNA sequencing: nucleases from Staphylococcus aureus and Neurospora crassa discriminate between uridine and cytidine","Krupp G, Gross HJ.","Nucleic Acids Res. 1979 Aug 10;6(11):3481-90. doi: 10.1093/nar/6.11.3481.","Krupp G","Nucleic Acids Res","1979","1979/08/10","PMC327950","","10.1093/nar/6.11.3481"
"23841","Biosynthesis of glycogen in Neurospora crassa. Purification and properties of the UDPglucose:glycogen 4-alpha-glucosyltransferase","Takahara H, Matsuda K.","Biochim Biophys Acta. 1978 Feb 10;522(2):363-74. doi: 10.1016/0005-2744(78)90070-0.","Takahara H","Biochim Biophys Acta","1978","1978/02/10","","","10.1016/0005-2744(78)90070-0"
"11273682","Hex-1, a gene unique to filamentous fungi, encodes the major protein of the Woronin body and functions as a plug for septal pores","Tenney K, Hunt I, Sweigard J, Pounder JI, McClain C, Bowman EJ, Bowman BJ.","Fungal Genet Biol. 2000 Dec;31(3):205-17. doi: 10.1006/fgbi.2000.1230.","Tenney K","Fungal Genet Biol","2000","2001/03/29","","","10.1006/fgbi.2000.1230"
"8343129","Cloning, in vitro mitochondrial import and membrane assembly of the 17.8 kDa subunit of complex I from Neurospora crassa","Azevedo JE, Abrolat-Scharff J, Eckerskorn C, Werner S.","Biochem J. 1993 Jul 15;293 ( Pt 2)(Pt 2):501-6. doi: 10.1042/bj2930501.","Azevedo JE","Biochem J","1993","1993/07/15","PMC1134389","","10.1042/bj2930501"
"8510556","Genetic analysis using random amplified polymorphic DNA markers","Williams JG, Hanafey MK, Rafalski JA, Tingey SV.","Methods Enzymol. 1993;218:704-40. doi: 10.1016/0076-6879(93)18053-f.","Williams JG","Methods Enzymol","1993","1993/01/01","","","10.1016/0076-6879(93)18053-f"
"11073955","The external calcium-dependent NADPH dehydrogenase from Neurospora crassa mitochondria","Melo AM, Duarte M, Møller IM, Prokisch H, Dolan PL, Pinto L, Nelson MA, Videira A.","J Biol Chem. 2001 Feb 9;276(6):3947-51. doi: 10.1074/jbc.M008199200. Epub 2000 Nov 9.","Melo AM","J Biol Chem","2001","2000/11/14","","","10.1074/jbc.M008199200"
"25421388","Development and physiological characterization of cellobiose-consuming Yarrowia lipolytica","Lane S, Zhang S, Wei N, Rao C, Jin YS.","Biotechnol Bioeng. 2015 May;112(5):1012-22. doi: 10.1002/bit.25499. Epub 2015 Jan 16.","Lane S","Biotechnol Bioeng","2015","2014/11/26","","","10.1002/bit.25499"
"8505293","Cloning and sequencing of the genes coding for the A and B subunits of vacuolar-type Na(+)-ATPase from Enterococcus hirae. Coexistence of vacuolar- and F0F1-type ATPases in one bacterial cell","Takase K, Yamato I, Kakinuma Y.","J Biol Chem. 1993 Jun 5;268(16):11610-6.","Takase K","J Biol Chem","1993","1993/06/05","","",""
"16998153","Lithium leads to an increased FRQ protein stability and to a partial loss of temperature compensation in the Neurospora circadian clock","Jolma IW, Falkeid G, Bamerni M, Ruoff P.","J Biol Rhythms. 2006 Oct;21(5):327-34. doi: 10.1177/0748730406292453.","Jolma IW","J Biol Rhythms","2006","2006/09/26","","","10.1177/0748730406292453"
"25446508","Endogenous ergothioneine is required for wild type levels of conidiogenesis and conidial survival but does not protect against 254 nm UV-induced mutagenesis or kill","Bello MH, Mogannam JC, Morin D, Epstein L.","Fungal Genet Biol. 2014 Dec;73:120-7. doi: 10.1016/j.fgb.2014.10.007. Epub 2014 Oct 14.","Bello MH","Fungal Genet Biol","2014","2014/12/03","","","10.1016/j.fgb.2014.10.007"
"37083494","The nutrient-sensing GCN2 signaling pathway is essential for circadian clock function by regulating histone acetylation under amino acid starvation","Liu XL, Yang Y, Hu Y, Wu J, Han C, Lu Q, Gan X, Qi S, Guo J, He Q, Liu Y, Liu X.","Elife. 2023 Apr 21;12:e85241. doi: 10.7554/eLife.85241.","Liu XL","Elife","2023","2023/04/21","PMC10191625","","10.7554/eLife.85241"
"7557397","Sequence of the met-10+ locus of Neurospora crassa: homology to a sequence of unknown function in Saccharomyces cerevisiae chromosome 8","Chow CM, Kang S, Metzenberg RL, RajBhandary UL.","Gene. 1995 Aug 30;162(1):111-5. doi: 10.1016/0378-1119(95)00353-8.","Chow CM","Gene","1995","1995/08/30","","","10.1016/0378-1119(95)00353-8"
"8595678","Mapping translocation breakpoints by orthogonal field agarose-gel electrophoresis","Smith ML, Glass NL.","Curr Genet. 1996 Feb;29(3):301-5. doi: 10.1007/BF02221562.","Smith ML","Curr Genet","1996","1996/02/01","","","10.1007/BF02221562"
"4270183","Action of single-strand specific Neurospora crassa endonuclease on ultraviolet light-irradiated native DNA","Kato AC, Fraser MJ.","Biochim Biophys Acta. 1973 Jul 27;312(4):645-55. doi: 10.1016/0005-2787(73)90068-3.","Kato AC","Biochim Biophys Acta","1973","1973/07/27","","","10.1016/0005-2787(73)90068-3"
"6219288","Genotoxicity of tobacco smoke and tobacco smoke condensate","DeMarini DM.","Mutat Res. 1983 Jan;114(1):59-89. doi: 10.1016/0165-1110(83)90019-2.","DeMarini DM","Mutat Res","1983","1983/01/01","","","10.1016/0165-1110(83)90019-2"
"147274","Regulation, purification, and properties of xanthine dehydrogenase in Neurospora crassa","Lyon ES, Garrett RH.","J Biol Chem. 1978 Apr 25;253(8):2604-14.","Lyon ES","J Biol Chem","1978","1978/04/25","","",""
"3003521","An evolutionary comparison of homologous mitochondrial plasmid DNAs from three Neurospora species","Taylor JW, Smolich BD, May G.","Mol Gen Genet. 1985;201(2):161-7. doi: 10.1007/BF00425654.","Taylor JW","Mol Gen Genet","1985","1985/01/01","","","10.1007/BF00425654"
"6091361","[Functional properties of the photoreceptor system of the fungus cell]","Kritskiĭ MS, Afanas'eva TP, Belozerskaia TA, Soboleva IS, Sokolovskiĭ VIu.","Zh Obshch Biol. 1984 Jul-Aug;45(4):552-65.","Kritskiĭ MS","Zh Obshch Biol","1984","1984/07/01","","",""
"2523392","Identification of an arginine carrier in the vacuolar membrane of Neurospora crassa","Paek YL, Weiss RL.","J Biol Chem. 1989 May 5;264(13):7285-90.","Paek YL","J Biol Chem","1989","1989/05/05","","",""
