PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35963473","Safety evaluation of Neurospora crassa mycoprotein for use as a novel meat alternative and enhancer","Bartholomai BM, Ruwe KM, Thurston J, Jha P, Scaife K, Simon R, Abdelmoteleb M, Goodman RE, Farhi M.","Food Chem Toxicol. 2022 Oct;168:113342. doi: 10.1016/j.fct.2022.113342. Epub 2022 Aug 11.","Bartholomai BM","Food Chem Toxicol","2022","2022/08/13","","","10.1016/j.fct.2022.113342"
"31172300","Conidiation in Neurospora crassa: vegetative reproduction by a model fungus","Ruger-Herreros C, Corrochano LM.","Int Microbiol. 2020 Jan;23(1):97-105. doi: 10.1007/s10123-019-00085-1. Epub 2019 Jun 6.","Ruger-Herreros C","Int Microbiol","2020","2019/06/08","","","10.1007/s10123-019-00085-1"
"26340439","Cell fusion in Neurospora crassa","Herzog S, Schumann MR, Fleißner A.","Curr Opin Microbiol. 2015 Dec;28:53-9. doi: 10.1016/j.mib.2015.08.002. Epub 2015 Sep 3.","Herzog S","Curr Opin Microbiol","2015","2015/09/05","","","10.1016/j.mib.2015.08.002"
"11931228","Quelling in Neurospora crassa","Pickford AS, Catalanotto C, Cogoni C, Macino G.","Adv Genet. 2002;46:277-303. doi: 10.1016/s0065-2660(02)46010-5.","Pickford AS","Adv Genet","2002","2002/04/05","","","10.1016/s0065-2660(02)46010-5"
"12033445","Neurospora crassa catalases, singlet oxygen and cell differentiation","Peraza L, Hansberg W.","Biol Chem. 2002 Mar-Apr;383(3-4):569-75. doi: 10.1515/BC.2002.058.","Peraza L","Biol Chem","2002","2002/05/30","","","10.1515/BC.2002.058"
"33159072","Establishment of Neurospora crassa as a model organism for fungal virology","Honda S, Eusebio-Cope A, Miyashita S, Yokoyama A, Aulia A, Shahi S, Kondo H, Suzuki N.","Nat Commun. 2020 Nov 6;11(1):5627. doi: 10.1038/s41467-020-19355-y.","Honda S","Nat Commun","2020","2020/11/07","PMC7648066","","10.1038/s41467-020-19355-y"
"16445744","Homology effects in Neurospora crassa","Catalanotto C, Nolan T, Cogoni C.","FEMS Microbiol Lett. 2006 Jan;254(2):182-9. doi: 10.1111/j.1574-6968.2005.00037.x.","Catalanotto C","FEMS Microbiol Lett","2006","2006/02/01","","","10.1111/j.1574-6968.2005.00037.x"
"6219280","Chromosomal loci of Neurospora crassa","Perkins DD, Radford A, Newmeyer D, Björkman M.","Microbiol Rev. 1982 Dec;46(4):426-570. doi: 10.1128/mr.46.4.426-570.1982.","Perkins DD","Microbiol Rev","1982","1982/12/01","PMC281555","","10.1128/mr.46.4.426-570.1982"
"9454641","Blue light regulation in Neurospora crassa","Linden H, Ballario P, Macino G.","Fungal Genet Biol. 1997 Dec;22(3):141-50. doi: 10.1006/fgbi.1997.1013.","Linden H","Fungal Genet Biol","1997","1998/03/21","","","10.1006/fgbi.1997.1013"
"23890213","Recent advances in septum biogenesis in Neurospora crassa","Mouriño-Pérez RR, Riquelme M.","Adv Genet. 2013;83:99-134. doi: 10.1016/B978-0-12-407675-4.00003-1.","Mouriño-Pérez RR","Adv Genet","2013","2013/07/30","","","10.1016/B978-0-12-407675-4.00003-1"
"21640311","Architecture and development of the Neurospora crassa hypha -- a model cell for polarized growth","Riquelme M, Yarden O, Bartnicki-Garcia S, Bowman B, Castro-Longoria E, Free SJ, Fleissner A, Freitag M, Lew RR, Mouriño-Pérez R, Plamann M, Rasmussen C, Richthammer C, Roberson RW, Sanchez-Leon E, Seiler S, Watters MK.","Fungal Biol. 2011 Jun;115(6):446-74. doi: 10.1016/j.funbio.2011.02.008. Epub 2011 Feb 19.","Riquelme M","Fungal Biol","2011","2011/06/07","","","10.1016/j.funbio.2011.02.008"
"11463212","A fungus among us: the Neurospora crassa circadian system","Merrow M, Roenneberg T, Macino G, Franchi L.","Semin Cell Dev Biol. 2001 Aug;12(4):279-85. doi: 10.1006/scdb.2001.0255.","Merrow M","Semin Cell Dev Biol","2001","2001/07/21","","","10.1006/scdb.2001.0255"
"18979236","Cell fusion in the filamentous fungus, Neurospora crassa","Fleissner A, Simonin AR, Glass NL.","Methods Mol Biol. 2008;475:21-38. doi: 10.1007/978-1-59745-250-2_2.","Fleissner A","Methods Mol Biol","2008","2008/11/04","","","10.1007/978-1-59745-250-2_2"
"23318834","Biotechnological production of ethanol from renewable resources by Neurospora crassa: an alternative to conventional yeast fermentations?","Dogaris I, Mamma D, Kekos D.","Appl Microbiol Biotechnol. 2013 Feb;97(4):1457-73. doi: 10.1007/s00253-012-4655-2. Epub 2013 Jan 15.","Dogaris I","Appl Microbiol Biotechnol","2013","2013/01/16","","","10.1007/s00253-012-4655-2"
"2147375","Circadian rhythms in Neurospora crassa: biochemistry and genetics","Lakin-Thomas PL, Coté GG, Brody S.","Crit Rev Microbiol. 1990;17(5):365-416. doi: 10.3109/10408419009114762.","Lakin-Thomas PL","Crit Rev Microbiol","1990","1990/01/01","","","10.3109/10408419009114762"
"35353854","Wavelengths and irradiances modulate the circadian rhythm of Neurospora crassa","Wen P, Tan F, Lei M, Khan MSA, Chen W, Hu X.","PLoS One. 2022 Mar 30;17(3):e0266266. doi: 10.1371/journal.pone.0266266. eCollection 2022.","Wen P","PLoS One","2022","2022/03/30","PMC8967017","","10.1371/journal.pone.0266266"
"29119270","Functional diversity in the pH signaling pathway: an overview of the pathway regulation in Neurospora crassa","Virgilio S, Bertolini MC.","Curr Genet. 2018 Jun;64(3):529-534. doi: 10.1007/s00294-017-0772-x. Epub 2017 Nov 8.","Virgilio S","Curr Genet","2018","2017/11/10","","","10.1007/s00294-017-0772-x"
"10779395","Understanding circadian rhythmicity in Neurospora crassa: from behavior to genes and back again","Bell-Pedersen D.","Fungal Genet Biol. 2000 Feb;29(1):1-18. doi: 10.1006/fgbi.2000.1185.","Bell-Pedersen D","Fungal Genet Biol","2000","2000/04/26","","","10.1006/fgbi.2000.1185"
"2961304","Regulation of the QA gene cluster of Neurospora crassa","Geever RF, Baum JA, Case ME, Giles NH.","Antonie Van Leeuwenhoek. 1987;53(5):343-8. doi: 10.1007/BF00400558.","Geever RF","Antonie Van Leeuwenhoek","1987","1987/01/01","","","10.1007/BF00400558"
"17395524","Quelling: post-transcriptional gene silencing guided by small RNAs in Neurospora crassa","Fulci V, Macino G.","Curr Opin Microbiol. 2007 Apr;10(2):199-203. doi: 10.1016/j.mib.2007.03.016. Epub 2007 Mar 28.","Fulci V","Curr Opin Microbiol","2007","2007/03/31","","","10.1016/j.mib.2007.03.016"
"9402704","White collar proteins: PASsing the light signal in Neurospora crassa","Ballario P, Macino G.","Trends Microbiol. 1997 Nov;5(11):458-62. doi: 10.1016/S0966-842X(97)01144-X.","Ballario P","Trends Microbiol","1997","1997/12/24","","","10.1016/S0966-842X(97)01144-X"
"17954967","Circadian rhythm in the pink-orange bread mould Neurospora crassa: for what?","Maheshwari R.","J Biosci. 2007 Sep;32(6):1053-8. doi: 10.1007/s12038-007-0107-z.","Maheshwari R","J Biosci","2007","2007/10/24","","","10.1007/s12038-007-0107-z"
"15007097","Lessons from the genome sequence of Neurospora crassa: tracing the path from genomic blueprint to multicellular organism","Borkovich KA, Alex LA, Yarden O, Freitag M, Turner GE, Read ND, Seiler S, Bell-Pedersen D, Paietta J, Plesofsky N, Plamann M, Goodrich-Tanrikulu M, Schulte U, Mannhaupt G, Nargang FE, Radford A, Selitrennikoff C, Galagan JE, Dunlap JC, Loros JJ, Catcheside D, Inoue H, Aramayo R, Polymenis M, Selker EU, Sachs MS, Marzluf GA, Paulsen I, Davis R, Ebbole DJ, Zelter A, Kalkman ER, O'Rourke R, Bowring F, Yeadon J, Ishii C, Suzuki K, Sakai W, Pratt R.","Microbiol Mol Biol Rev. 2004 Mar;68(1):1-108. doi: 10.1128/MMBR.68.1.1-108.2004.","Borkovich KA","Microbiol Mol Biol Rev","2004","2004/03/10","PMC362109","","10.1128/MMBR.68.1.1-108.2004"
"8357339","Genetic control of fungal differentiation: the three sporulation pathways of Neurospora crassa","Springer ML.","Bioessays. 1993 Jun;15(6):365-74. doi: 10.1002/bies.950150602.","Springer ML","Bioessays","1993","1993/06/01","","","10.1002/bies.950150602"
"24953997","The Neurospora crassa CPS-1 polysaccharide synthase functions in cell wall biosynthesis","Fu C, Sokolow E, Rupert CB, Free SJ.","Fungal Genet Biol. 2014 Aug;69:23-30. doi: 10.1016/j.fgb.2014.05.009. Epub 2014 Jun 2.","Fu C","Fungal Genet Biol","2014","2014/06/24","PMC4115004","NIHMS602784","10.1016/j.fgb.2014.05.009"
"9806802","Carbon catabolite repression of gene expression and conidiation in Neurospora crassa","Ebbole DJ.","Fungal Genet Biol. 1998 Oct;25(1):15-21. doi: 10.1006/fgbi.1998.1088.","Ebbole DJ","Fungal Genet Biol","1998","1998/11/10","","","10.1006/fgbi.1998.1088"
"32432345","Quantitative genetics of temperature performance curves of Neurospora crassa","Moghadam NN, Sidhu K, Summanen PAM, Ketola T, Kronholm I.","Evolution. 2020 Aug;74(8):1772-1787. doi: 10.1111/evo.14016. Epub 2020 May 29.","Moghadam NN","Evolution","2020","2020/05/21","","","10.1111/evo.14016"
"25381238","Engineering Neurospora crassa for improved cellobiose and cellobionate production","Hildebrand A, Szewczyk E, Lin H, Kasuga T, Fan Z.","Appl Environ Microbiol. 2015 Jan;81(2):597-603. doi: 10.1128/AEM.02885-14. Epub 2014 Nov 7.","Hildebrand A","Appl Environ Microbiol","2015","2014/11/09","PMC4277563","","10.1128/AEM.02885-14"
"21090502","Conidiation of Neurospora crassa","Turian G, Matikian N.","Nature. 1966 Dec 3;212(5066):1067-8. doi: 10.1038/2121067a0.","Turian G","Nature","1966","2010/11/25","","","10.1038/2121067a0"
"134474","Regulation of Mitochondrial biogenesis in Neurospora crassa","Sheir-Neiss GI, Colvin HJ, Munkres KD.","Subcell Biochem. 1975 Sep;4(3):223-9.","Sheir-Neiss GI","Subcell Biochem","1975","1975/09/01","","",""
"18314721","Neurospora crassa as a model organism for mitochondrial biogenesis","Nargang FE, Rapaport D.","Methods Mol Biol. 2007;372:107-23. doi: 10.1007/978-1-59745-365-3_8.","Nargang FE","Methods Mol Biol","2007","2008/03/05","","","10.1007/978-1-59745-365-3_8"
"1837201","Genetics and molecular biology of Neurospora crassa","Mishra NC.","Adv Genet. 1991;29:1-62.","Mishra NC","Adv Genet","1991","1991/01/01","","",""
"25302868","Mechanism of the Neurospora circadian clock, a FREQUENCY-centric view","Cha J, Zhou M, Liu Y.","Biochemistry. 2015 Jan 20;54(2):150-6. doi: 10.1021/bi5005624. Epub 2014 Dec 30.","Cha J","Biochemistry","2015","2014/10/11","PMC4303299","","10.1021/bi5005624"
"22258449","Cooperation among germinating spores facilitates the growth of the fungus, Neurospora crassa","Richard F, Glass NL, Pringle A.","Biol Lett. 2012 Jun 23;8(3):419-22. doi: 10.1098/rsbl.2011.1141. Epub 2012 Jan 18.","Richard F","Biol Lett","2012","2012/01/20","PMC3367758","","10.1098/rsbl.2011.1141"
"31636083","Programmed Cell Death in Neurospora crassa Is Controlled by the Allorecognition Determinant rcd-1","Daskalov A, Gladieux P, Heller J, Glass NL.","Genetics. 2019 Dec;213(4):1387-1400. doi: 10.1534/genetics.119.302617. Epub 2019 Oct 21.","Daskalov A","Genetics","2019","2019/10/23","PMC6893366","","10.1534/genetics.119.302617"
"33138786","Clustering analysis of large-scale phenotypic data in the model filamentous fungus Neurospora crassa","Carrillo AJ, Cabrera IE, Spasojevic MJ, Schacht P, Stajich JE, Borkovich KA.","BMC Genomics. 2020 Nov 2;21(1):755. doi: 10.1186/s12864-020-07131-7.","Carrillo AJ","BMC Genomics","2020","2020/11/03","PMC7607824","","10.1186/s12864-020-07131-7"
"24260473","Neurospora crassa protein arginine methyl transferases are involved in growth and development and interact with the NDR kinase COT1","Feldman D, Ziv C, Gorovits R, Efrat M, Yarden O.","PLoS One. 2013 Nov 19;8(11):e80756. doi: 10.1371/journal.pone.0080756. eCollection 2013.","Feldman D","PLoS One","2013","2013/11/22","PMC3834314","","10.1371/journal.pone.0080756"
"17417000","Rhythmic conidiation in Neurospora crassa","Kramer C.","Methods Mol Biol. 2007;362:49-65. doi: 10.1007/978-1-59745-257-1_3.","Kramer C","Methods Mol Biol","2007","2007/04/10","","","10.1007/978-1-59745-257-1_3"
"21870276","Genetic dissection of PARylation in the filamentous fungus Neurospora crassa","Kothe GO.","Methods Mol Biol. 2011;780:427-41. doi: 10.1007/978-1-61779-270-0_26.","Kothe GO","Methods Mol Biol","2011","2011/08/27","","","10.1007/978-1-61779-270-0_26"
"6134713","Neurospora crassa mutant impaired in glutamine regulation","González A, Tenorio M, Vaca G, Mora J.","J Bacteriol. 1983 Jul;155(1):1-7. doi: 10.1128/jb.155.1.1-7.1983.","González A","J Bacteriol","1983","1983/07/01","PMC217643","","10.1128/jb.155.1.1-7.1983"
"21203945","Molecular mechanism of the Neurospora circadian oscillator","Guo J, Liu Y.","Protein Cell. 2010 Apr;1(4):331-341. doi: 10.1007/s13238-010-0053-7. Epub 2010 May 8.","Guo J","Protein Cell","2010","2011/01/05","PMC4875101","","10.1007/s13238-010-0053-7"
"7952169","The Neurospora crassa chs-2 gene encodes a non-essential chitin synthase","Din AB, Yarden O.","Microbiology (Reading). 1994 Sep;140 ( Pt 9):2189-97. doi: 10.1099/13500872-140-9-2189.","Din AB","Microbiology (Reading)","1994","1994/09/01","","","10.1099/13500872-140-9-2189"
"32389302","Evaluating the circadian rhythm and response to glucose addition in dispersed growth cultures of Neurospora crassa","Kelliher CM, Loros JJ, Dunlap JC.","Fungal Biol. 2020 May;124(5):398-406. doi: 10.1016/j.funbio.2019.11.004. Epub 2019 Nov 20.","Kelliher CM","Fungal Biol","2020","2020/05/12","PMC7217977","NIHMS1545390","10.1016/j.funbio.2019.11.004"
"25329823","Gene expression differences among three Neurospora species reveal genes required for sexual reproduction in Neurospora crassa","Lehr NA, Wang Z, Li N, Hewitt DA, López-Giráldez F, Trail F, Townsend JP.","PLoS One. 2014 Oct 20;9(10):e110398. doi: 10.1371/journal.pone.0110398. eCollection 2014.","Lehr NA","PLoS One","2014","2014/10/21","PMC4203796","","10.1371/journal.pone.0110398"
"3160913","Carotenoid synthesis in Neurospora crassa","Rau W, Mitzka-Schnabel U.","Methods Enzymol. 1985;110:253-67. doi: 10.1016/s0076-6879(85)10082-0.","Rau W","Methods Enzymol","1985","1985/01/01","","","10.1016/s0076-6879(85)10082-0"
"36481248","Optimized fluorescent proteins for 4-color and photoconvertible live-cell imaging in Neurospora crassa","Wang Z, Bartholomai BM, Loros JJ, Dunlap JC.","Fungal Genet Biol. 2023 Jan;164:103763. doi: 10.1016/j.fgb.2022.103763. Epub 2022 Dec 5.","Wang Z","Fungal Genet Biol","2023","2022/12/08","","","10.1016/j.fgb.2022.103763"
"21590422","Phenotypic analysis of Neurospora crassa gene deletion strains","Turner GE.","Methods Mol Biol. 2011;722:191-8. doi: 10.1007/978-1-61779-040-9_14.","Turner GE","Methods Mol Biol","2011","2011/05/19","","","10.1007/978-1-61779-040-9_14"
"19800017","Circadian rhythms in Neurospora crassa: Downstream effectors","Brody S, Oelhafen K, Schneider K, Perrino S, Goetz A, Wang C, English C.","Fungal Genet Biol. 2010 Feb;47(2):159-68. doi: 10.1016/j.fgb.2009.09.006. Epub 2009 Sep 30.","Brody S","Fungal Genet Biol","2010","2009/10/06","","","10.1016/j.fgb.2009.09.006"
"30225531","Consolidated bioprocessing of lignocellulosic biomass to itaconic acid by metabolically engineering Neurospora crassa","Zhao C, Chen S, Fang H.","Appl Microbiol Biotechnol. 2018 Nov;102(22):9577-9584. doi: 10.1007/s00253-018-9362-1. Epub 2018 Sep 17.","Zhao C","Appl Microbiol Biotechnol","2018","2018/09/19","","","10.1007/s00253-018-9362-1"
"11927980","Transformation in heterokaryons of Neurospora crassa is nuclear rather than cellular phenomenon","Dev K, Maheshwari R.","Curr Microbiol. 2002 May;44(5):309-13. doi: 10.1007/s00284-001-0004-x.","Dev K","Curr Microbiol","2002","2002/04/03","","","10.1007/s00284-001-0004-x"
"32938998","Identifying a stochastic clock network with light entrainment for single cells of Neurospora crassa","Caranica C, Al-Omari A, Schüttler HB, Arnold J.","Sci Rep. 2020 Sep 16;10(1):15168. doi: 10.1038/s41598-020-72213-1.","Caranica C","Sci Rep","2020","2020/09/17","PMC7495483","","10.1038/s41598-020-72213-1"
"14595518","The Neurospora crassa mus-19 gene is identical to the qde-3 gene, which encodes a RecQ homologue and is involved in recombination repair and postreplication repair","Kato A, Akamatsu Y, Sakuraba Y, Inoue H.","Curr Genet. 2004 Feb;45(1):37-44. doi: 10.1007/s00294-003-0459-3. Epub 2003 Nov 1.","Kato A","Curr Genet","2004","2003/11/05","","","10.1007/s00294-003-0459-3"
"27363849","Regulation of Neurospora crassa cell wall remodeling via the cot-1 pathway is mediated by gul-1","Herold I, Yarden O.","Curr Genet. 2017 Feb;63(1):145-159. doi: 10.1007/s00294-016-0625-z. Epub 2016 Jun 30.","Herold I","Curr Genet","2017","2016/07/02","","","10.1007/s00294-016-0625-z"
"4281772","Neurospora crassa cytoplasmic ribosomes: isolation and characterization of a cold-sensitive mutant defective in ribosome biosynthesis","Schlitt SC, Russell PJ.","J Bacteriol. 1974 Nov;120(2):666-71. doi: 10.1128/jb.120.2.666-671.1974.","Schlitt SC","J Bacteriol","1974","1974/11/01","PMC245825","","10.1128/jb.120.2.666-671.1974"
"30718271","Integration of Self and Non-self Recognition Modulates Asexual Cell-to-Cell Communication in Neurospora crassa","Fischer MS, Jonkers W, Glass NL.","Genetics. 2019 Apr;211(4):1255-1267. doi: 10.1534/genetics.118.301780. Epub 2019 Feb 4.","Fischer MS","Genetics","2019","2019/02/06","PMC6456313","","10.1534/genetics.118.301780"
"35858815","Glucuronoyl esterase facilitates biomass degradation in Neurospora crassa by upregulating the expression of plant biomass-degrading enzymes","Wang R, Arioka M.","J Gen Appl Microbiol. 2023 Mar 6;68(6):278-286. doi: 10.2323/jgam.2022.06.002. Epub 2022 Jul 21.","Wang R","J Gen Appl Microbiol","2023","2022/07/20","","","10.2323/jgam.2022.06.002"
"27888323","The calmodulin gene in Neurospora crassa is required for normal vegetative growth, ultraviolet survival, and sexual development","Laxmi V, Tamuli R.","Arch Microbiol. 2017 May;199(4):531-542. doi: 10.1007/s00203-016-1319-0. Epub 2016 Nov 25.","Laxmi V","Arch Microbiol","2017","2016/11/27","","","10.1007/s00203-016-1319-0"
"26908649","The tetraspanin TSP3 of Neurospora crassa is a vacuolar membrane protein and shares characteristics with IDI proteins","Heine D, Petereit L, Schumann MR, Patzelt D, Rachid L, Brandt U, Werner A, Pöggeler S, Fleißner A.","Mycologia. 2016 May-Jun;108(3):581-9. doi: 10.3852/15-225. Epub 2016 Feb 23.","Heine D","Mycologia","2016","2016/02/25","","","10.3852/15-225"
"18676954","Dissecting colony development of Neurospora crassa using mRNA profiling and comparative genomics approaches","Kasuga T, Glass NL.","Eukaryot Cell. 2008 Sep;7(9):1549-64. doi: 10.1128/EC.00195-08. Epub 2008 Aug 1.","Kasuga T","Eukaryot Cell","2008","2008/08/05","PMC2547062","","10.1128/EC.00195-08"
"26247120","Chemotropic sensing in fungus-plant interactions","Turrà D, Di Pietro A.","Curr Opin Plant Biol. 2015 Aug;26:135-40. doi: 10.1016/j.pbi.2015.07.004. Epub 2015 Aug 3.","Turrà D","Curr Opin Plant Biol","2015","2015/08/07","","","10.1016/j.pbi.2015.07.004"
"1838130","Purification of Neurospora crassa copper-metallothionein","Lerch K.","Methods Enzymol. 1991;205:278-83. doi: 10.1016/0076-6879(91)05108-8.","Lerch K","Methods Enzymol","1991","1991/01/01","","","10.1016/0076-6879(91)05108-8"
"16154782","Circadian rhythms in Neurospora crassa: clock gene homologues in fungi","Lombardi LM, Brody S.","Fungal Genet Biol. 2005 Nov;42(11):887-92. doi: 10.1016/j.fgb.2005.06.005. Epub 2005 Sep 9.","Lombardi LM","Fungal Genet Biol","2005","2005/09/13","","","10.1016/j.fgb.2005.06.005"
"11710977","Rhythms of differentiation and diacylglycerol in Neurospora","Lakin-Thomas PL, Gooch VD, Ramsdale M.","Philos Trans R Soc Lond B Biol Sci. 2001 Nov 29;356(1415):1711-5. doi: 10.1098/rstb.2001.0966.","Lakin-Thomas PL","Philos Trans R Soc Lond B Biol Sci","2001","2001/11/17","PMC1088546","","10.1098/rstb.2001.0966"
"26215788","Linear Discriminant Analysis Identifies Mitochondrially Localized Proteins in Neurospora crassa","Wirsing L, Klawonn F, Sassen WA, Lünsdorf H, Probst C, Hust M, Mendel RR, Kruse T, Jänsch L.","J Proteome Res. 2015 Sep 4;14(9):3900-11. doi: 10.1021/acs.jproteome.5b00329. Epub 2015 Aug 10.","Wirsing L","J Proteome Res","2015","2015/07/29","","","10.1021/acs.jproteome.5b00329"
"14516770","Isolation and characterization of Neurospora crassa mutants resistant to antifungal plant defensins","Ferket KK, Levery SB, Park C, Cammue BP, Thevissen K.","Fungal Genet Biol. 2003 Nov;40(2):176-85. doi: 10.1016/s1087-1845(03)00085-9.","Ferket KK","Fungal Genet Biol","2003","2003/10/01","","","10.1016/s1087-1845(03)00085-9"
"156725","Intracellular protein degradation in Neurospora crassa","Martegani E, Alberghina L.","J Biol Chem. 1979 Aug 10;254(15):7047-54.","Martegani E","J Biol Chem","1979","1979/08/10","","",""
"21453703","Light input and processing in the circadian clock of Neurospora","Schafmeier T, Diernfellner AC.","FEBS Lett. 2011 May 20;585(10):1467-73. doi: 10.1016/j.febslet.2011.03.050. Epub 2011 Mar 29.","Schafmeier T","FEBS Lett","2011","2011/04/02","","","10.1016/j.febslet.2011.03.050"
"22067301","Fine-scale mapping in Neurospora crassa by using genome-wide knockout strains","Hammond TM, Rehard DG, Harris BC, Shiu PK.","Mycologia. 2012 Jan-Feb;104(1):321-3. doi: 10.3852/11-062. Epub 2011 Nov 8.","Hammond TM","Mycologia","2012","2011/11/10","","","10.3852/11-062"
"21237628","Role of cell wall bound calcium in Neurospora crassa","Naveena Lavanya Latha J, Maruthi Mohan P.","Microbiol Res. 2011 Jul 20;166(5):419-29. doi: 10.1016/j.micres.2010.10.001. Epub 2011 Jan 15.","Naveena Lavanya Latha J","Microbiol Res","2011","2011/01/18","","","10.1016/j.micres.2010.10.001"
"7618293","[Cyclic nucleotides and membrane electrogenesis in cell differentiation in Neurospora crassa]","Belozerskaia TA, Sokolovskiĭ VIu, Kritskiĭ MS.","Vopr Med Khim. 1994 Nov-Dec;40(6):2-5.","Belozerskaia TA","Vopr Med Khim","1994","1994/11/01","","",""
"21739","Metabolism of mandelic acid by Neurospora crassa","Ramakrishna Rao DN, Vaidyanathan CS.","Can J Microbiol. 1977 Oct;23(10):1496-9. doi: 10.1139/m77-222.","Ramakrishna Rao DN","Can J Microbiol","1977","1977/10/01","","","10.1139/m77-222"
"30413765","Asexual reproduction and growth rate: independent and plastic life history traits in Neurospora crassa","Anderson JL, Nieuwenhuis BPS, Johannesson H.","ISME J. 2019 Mar;13(3):780-788. doi: 10.1038/s41396-018-0294-7. Epub 2018 Nov 9.","Anderson JL","ISME J","2019","2018/11/11","PMC6462030","","10.1038/s41396-018-0294-7"
"26639917","Around the Fungal Clock: Recent Advances in the Molecular Study of Circadian Clocks in Neurospora and Other Fungi","Montenegro-Montero A, Canessa P, Larrondo LF.","Adv Genet. 2015;92:107-84. doi: 10.1016/bs.adgen.2015.09.003. Epub 2015 Oct 27.","Montenegro-Montero A","Adv Genet","2015","2015/12/08","","","10.1016/bs.adgen.2015.09.003"
"131734","Selection of extranuclear mutants of Neurospora crassa","Rosenberg E, Mora C, Edwards DL.","Genetics. 1976 May;83(1):11-24. doi: 10.1093/genetics/83.1.11.","Rosenberg E","Genetics","1976","1976/05/01","PMC1213494","","10.1093/genetics/83.1.11"
"24607352","Regulation of vectorial supply of vesicles to the hyphal tip determines thigmotropism in Neurospora crassa","Stephenson KS, Gow NA, Davidson FA, Gadd GM.","Fungal Biol. 2014 Mar;118(3):287-94. doi: 10.1016/j.funbio.2013.12.007. Epub 2014 Jan 4.","Stephenson KS","Fungal Biol","2014","2014/03/11","","","10.1016/j.funbio.2013.12.007"
"24699390","Direct recognition of homology between double helices of DNA in Neurospora crassa","Gladyshev E, Kleckner N.","Nat Commun. 2014 Apr 3;5:3509. doi: 10.1038/ncomms4509.","Gladyshev E","Nat Commun","2014","2014/04/05","PMC4000310","NIHMS570723","10.1038/ncomms4509"
"23352537","Glucoamylase is a potential allergen in products expressed in Neurospora crassa","Khurana T, Collison M, Le Haynes B, Cambareri E, Slater JE.","Ann Allergy Asthma Immunol. 2013 Feb;110(2):124-5.e3. doi: 10.1016/j.anai.2012.11.021. Epub 2012 Dec 20.","Khurana T","Ann Allergy Asthma Immunol","2013","2013/01/29","","","10.1016/j.anai.2012.11.021"
"26962146","Defining individual size in the model filamentous fungus Neurospora crassa","Ma L, Song B, Curran T, Phong N, Dressaire E, Roper M.","Proc Biol Sci. 2016 Mar 16;283(1826):20152470. doi: 10.1098/rspb.2015.2470.","Ma L","Proc Biol Sci","2016","2016/03/11","PMC4810846","","10.1098/rspb.2015.2470"
"130926","""Action potentials"" in Neurospora crassa, a mycelial fungus","Slayman CL, Long WS, Gradmann D.","Biochim Biophys Acta. 1976 Apr 5;426(4):732-44. doi: 10.1016/0005-2736(76)90138-3.","Slayman CL","Biochim Biophys Acta","1976","1976/04/05","","","10.1016/0005-2736(76)90138-3"
"27029735","Chemotropism and Cell Fusion in Neurospora crassa Relies on the Formation of Distinct Protein Complexes by HAM-5 and a Novel Protein HAM-14","Jonkers W, Fischer MS, Do HP, Starr TL, Glass NL.","Genetics. 2016 May;203(1):319-34. doi: 10.1534/genetics.115.185348. Epub 2016 Mar 30.","Jonkers W","Genetics","2016","2016/04/01","PMC4858782","","10.1534/genetics.115.185348"
"31249477","What is Phase in Cellular Clocks?","Caranica C, Cheong JH, Qiu X, Krach EK, Deng Z, Mao L, Schüttler HB, Arnold J.","Yale J Biol Med. 2019 Jun 27;92(2):169-178. eCollection 2019 Jun.","Caranica C","Yale J Biol Med","2019","2019/06/29","PMC6585513","",""
"12620257","On the independence of barrage formation and heterokaryon incompatibility in Neurospora crassa","Micali CO, Smith ML.","Fungal Genet Biol. 2003 Mar;38(2):209-19. doi: 10.1016/s1087-1845(02)00533-9.","Micali CO","Fungal Genet Biol","2003","2003/03/07","","","10.1016/s1087-1845(02)00533-9"
"23666236","Reduced glutathione export during programmed cell death of Neurospora crassa","Fernandes AS, Castro A, Videira A.","Apoptosis. 2013 Aug;18(8):940-8. doi: 10.1007/s10495-013-0858-y.","Fernandes AS","Apoptosis","2013","2013/05/14","","","10.1007/s10495-013-0858-y"
"28602830","Phenotypic analysis of newly isolated short-lifespan Neurospora crassa mutant deficient in a high mobility group box protein","Yoshihara R, Li Z, Ishimori K, Kuwabara K, Hatakeyama S, Tanaka S.","Fungal Genet Biol. 2017 Aug;105:28-36. doi: 10.1016/j.fgb.2017.06.001. Epub 2017 Jun 8.","Yoshihara R","Fungal Genet Biol","2017","2017/06/13","","","10.1016/j.fgb.2017.06.001"
"6173217","Inhibition of RNA synthesis in Neurospora crassa hyphae treated with picolinic acid","Martegani E.","Eur J Biochem. 1981 Dec;121(1):71-6. doi: 10.1111/j.1432-1033.1981.tb06431.x.","Martegani E","Eur J Biochem","1981","1981/12/01","","","10.1111/j.1432-1033.1981.tb06431.x"
