Gene,KEGG_definition,KEGG
MYCTH_2296005,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2296007,Autophagy - yeast,mtm04138
MYCTH_2296056,"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Selenocompound metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00260;mtm00270;mtm00450;mtm01100;mtm01110;mtm01230
MYCTH_2296069,Pyrimidine metabolism;Metabolic pathways,mtm00240;mtm01100
MYCTH_2296073,DNA replication;Base excision repair;Nucleotide excision repair;Mismatch repair,mtm03030;mtm03410;mtm03420;mtm03430
MYCTH_2296109,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2296115,Cysteine and methionine metabolism;Sulfur metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00270;mtm00920;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2296151,Glycerophospholipid metabolism,mtm00564
MYCTH_2296153,Histidine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00340;mtm01100;mtm01110;mtm01230
MYCTH_2296155,Basal transcription factors,mtm03022
MYCTH_2296156,Glycerolipid metabolism;Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00561;mtm00564;mtm01100;mtm01110
MYCTH_2296164,"Glycine, serine and threonine metabolism;Penicillin and cephalosporin biosynthesis;Arginine and proline metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Peroxisome",mtm00260;mtm00311;mtm00330;mtm01100;mtm01110;mtm04146
MYCTH_2296171,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,mtm00510;mtm00513;mtm01100;mtm04141
MYCTH_2296179,Arginine biosynthesis;Purine metabolism;Atrazine degradation;Metabolic pathways,mtm00220;mtm00230;mtm00791;mtm01100
MYCTH_2296191,Autophagy - other;Autophagy - yeast,mtm04136;mtm04138
MYCTH_2296197,Ribosome biogenesis in eukaryotes;Mitophagy - yeast,mtm03008;mtm04139
MYCTH_2296210,Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00230;mtm01100;mtm01110
MYCTH_2296228,mRNA surveillance pathway,mtm03015
MYCTH_2296247,Pentose phosphate pathway;Glutathione metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00030;mtm00480;mtm01100;mtm01110;mtm01200
MYCTH_2296260,Basal transcription factors,mtm03022
MYCTH_2296262,Basal transcription factors,mtm03022
MYCTH_2296287,Tyrosine metabolism;Metabolic pathways,mtm00350;mtm01100
MYCTH_2296291,RNA degradation;Spliceosome,mtm03018;mtm03040
MYCTH_2296305,"Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;Metabolic pathways",mtm00250;mtm00330;mtm01100
MYCTH_2296319,RNA degradation,mtm03018
MYCTH_2296320,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2296323,Glycerolipid metabolism;Metabolic pathways,mtm00561;mtm01100
MYCTH_2296333,MAPK signaling pathway - yeast,mtm04011
MYCTH_2296368,Various types of N-glycan biosynthesis;Metabolic pathways,mtm00513;mtm01100
MYCTH_2296370,Proteasome,mtm03050
MYCTH_2296378,Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites,mtm00900;mtm01110
MYCTH_2296388,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_2296399,Histidine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00340;mtm01100;mtm01110;mtm01230
MYCTH_2296410,Ribosome biogenesis in eukaryotes;mRNA surveillance pathway,mtm03008;mtm03015
MYCTH_2296424,Other types of O-glycan biosynthesis;Mannose type O-glycan biosynthesis;Metabolic pathways,mtm00514;mtm00515;mtm01100
MYCTH_2296450,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2296480,Mitophagy - yeast,mtm04139
MYCTH_2296513,Oxidative phosphorylation;Metabolic pathways;Phagosome,mtm00190;mtm01100;mtm04145
MYCTH_2296525,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2296536,Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Galactose metabolism;Purine metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00010;mtm00030;mtm00052;mtm00230;mtm00500;mtm00520;mtm01100;mtm01110
MYCTH_2296558,Autophagy - other;Autophagy - yeast;Mitophagy - yeast,mtm04136;mtm04138;mtm04139
MYCTH_2296573,Proteasome,mtm03050
MYCTH_2296575,Inositol phosphate metabolism;Metabolic pathways;MAPK signaling pathway - yeast;Phosphatidylinositol signaling system,mtm00562;mtm01100;mtm04011;mtm04070
MYCTH_2296595,mRNA surveillance pathway;Cell cycle - yeast,mtm03015;mtm04111
MYCTH_2296618,MAPK signaling pathway - yeast;Cell cycle - yeast,mtm04011;mtm04111
MYCTH_2296626,Ribosome biogenesis in eukaryotes;Mitophagy - yeast,mtm03008;mtm04139
MYCTH_2296654,Spliceosome,mtm03040
MYCTH_2296655,Spliceosome,mtm03040
MYCTH_2296676,Glycerophospholipid metabolism;Metabolic pathways,mtm00564;mtm01100
MYCTH_2296713,Endocytosis,mtm04144
MYCTH_2296723,Oxidative phosphorylation;Metabolic pathways;Phagosome,mtm00190;mtm01100;mtm04145
MYCTH_2296724,Pyruvate metabolism;Metabolic pathways,mtm00620;mtm01100
MYCTH_2296735,RNA degradation,mtm03018
MYCTH_2296757,"Valine, leucine and isoleucine degradation;Propanoate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites",mtm00280;mtm00640;mtm01100;mtm01110
MYCTH_2296766,Spliceosome,mtm03040
MYCTH_2296781,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2296782,DNA replication;Nucleotide excision repair;Mismatch repair,mtm03030;mtm03420;mtm03430
MYCTH_2296784,Spliceosome,mtm03040
MYCTH_2296792,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2296798,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2296800,"Pyrimidine metabolism;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of cofactors",mtm00240;mtm00250;mtm01100;mtm01240
MYCTH_2296814,Glycerophospholipid metabolism,mtm00564
MYCTH_2296847,One carbon pool by folate;Metabolic pathways,mtm00670;mtm01100
MYCTH_2296854,Protein export,mtm03060
MYCTH_2296861,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2296875,Ribosome,mtm03010
MYCTH_2296876,Cell cycle - yeast,mtm04111
MYCTH_2296889,Peroxisome,mtm04146
MYCTH_2296914,Peroxisome,mtm04146
MYCTH_2296915,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2296919,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2296944,Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00230;mtm01100;mtm01110
MYCTH_2296974,Pentose phosphate pathway;Pentose and glucuronate interconversions;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00030;mtm00040;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2296986,Cell cycle - yeast;Meiosis - yeast;Ubiquitin mediated proteolysis,mtm04111;mtm04113;mtm04120
MYCTH_2296998,Spliceosome,mtm03040
MYCTH_2297004,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2297018,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2297020,Autophagy - yeast;Endocytosis,mtm04138;mtm04144
MYCTH_2297030,Basal transcription factors,mtm03022
MYCTH_2297042,Spliceosome,mtm03040
MYCTH_2297044,Base excision repair,mtm03410
MYCTH_2297048,Spliceosome,mtm03040
MYCTH_2297052,Ribosome,mtm03010
MYCTH_2297068,Meiosis - yeast;Autophagy - yeast,mtm04113;mtm04138
MYCTH_2297133,"Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00250;mtm01100;mtm01110;mtm01230
MYCTH_2297201,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2297253,Tyrosine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00350;mtm01100;mtm01110
MYCTH_2297263,Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Pyruvate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00010;mtm00020;mtm00620;mtm01100;mtm01110;mtm01200
MYCTH_2297296,Fructose and mannose metabolism;Purine metabolism;Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00051;mtm00230;mtm00500;mtm01100;mtm01110
MYCTH_2297307,Glutathione metabolism;Metabolic pathways,mtm00480;mtm01100
MYCTH_2297319,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm01100;mtm01110;mtm01240
MYCTH_2297331,Lipoic acid metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00785;mtm01100;mtm01240
MYCTH_2297338,"Valine, leucine and isoleucine degradation;Metabolic pathways",mtm00280;mtm01100
MYCTH_2297347,MAPK signaling pathway - yeast;Mitophagy - yeast,mtm04011;mtm04139
MYCTH_2297359,RNA polymerase,mtm03020
MYCTH_2297364,Glycolysis / Gluconeogenesis;Fructose and mannose metabolism;Galactose metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00010;mtm00051;mtm00052;mtm00500;mtm00520;mtm01100;mtm01110;mtm01200
MYCTH_2297371,Spliceosome,mtm03040
MYCTH_2297376,Metabolic pathways;Peroxisome,mtm01100;mtm04146
MYCTH_2297411,Various types of N-glycan biosynthesis;Metabolic pathways,mtm00513;mtm01100
MYCTH_2297423,Nicotinate and nicotinamide metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00760;mtm01100;mtm01240
MYCTH_2297430,Arginine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,mtm00220;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2297436,Lipoic acid metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00785;mtm01100;mtm01240
MYCTH_2297437,Ribosome,mtm03010
MYCTH_2297460,"Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Lysine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",mtm00260;mtm00261;mtm00270;mtm00300;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2297473,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2297482,Autophagy - other;Autophagy - yeast,mtm04136;mtm04138
MYCTH_2297489,Protein export,mtm03060
MYCTH_2297503,Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Fructose and mannose metabolism;Galactose metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids;RNA degradation,mtm00010;mtm00030;mtm00051;mtm00052;mtm00680;mtm01100;mtm01110;mtm01200;mtm01230;mtm03018
MYCTH_2297518,Ribosome,mtm03010
MYCTH_2297526,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2297548,Ribosome,mtm03010
MYCTH_2297550,Sulfur relay system,mtm04122
MYCTH_2297559,Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00770;mtm01100;mtm01240
MYCTH_2297565,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2297570,RNA degradation,mtm03018
MYCTH_2297573,Ascorbate and aldarate metabolism,mtm00053
MYCTH_2297591,Glycerophospholipid metabolism;Metabolic pathways,mtm00564;mtm01100
MYCTH_2297709,Meiosis - yeast;Autophagy - yeast,mtm04113;mtm04138
MYCTH_2297718,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2297740,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2297751,MAPK signaling pathway - yeast,mtm04011
MYCTH_2297754,Oxidative phosphorylation;Metabolic pathways;Phagosome,mtm00190;mtm01100;mtm04145
MYCTH_2297763,Spliceosome,mtm03040
MYCTH_2297768,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,mtm00510;mtm00513;mtm01100;mtm04141
MYCTH_2297779,Autophagy - yeast,mtm04138
MYCTH_2297811,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2297816,Peroxisome,mtm04146
MYCTH_2297820,Pentose phosphate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00030;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2297828,Steroid biosynthesis,mtm00100
MYCTH_2297847,"Valine, leucine and isoleucine degradation;Metabolic pathways",mtm00280;mtm01100
MYCTH_2297849,"Valine, leucine and isoleucine degradation;Metabolic pathways",mtm00280;mtm01100
MYCTH_2297869,Aminoacyl-tRNA biosynthesis;Metabolic pathways,mtm00970;mtm01100
MYCTH_2297870,Spliceosome,mtm03040
MYCTH_2297873,Propanoate metabolism;Metabolic pathways,mtm00640;mtm01100
MYCTH_2297887,RNA degradation,mtm03018
MYCTH_2297943,Pyruvate metabolism;Metabolic pathways,mtm00620;mtm01100
MYCTH_2297948,Ribosome,mtm03010
MYCTH_2297977,Oxidative phosphorylation;Metabolic pathways;Phagosome,mtm00190;mtm01100;mtm04145
MYCTH_2298018,mRNA surveillance pathway;Spliceosome,mtm03015;mtm03040
MYCTH_2298040,Glycosphingolipid biosynthesis - ganglio series;Metabolic pathways,mtm00604;mtm01100
MYCTH_2298055,Endocytosis,mtm04144
MYCTH_2298064,Citrate cycle (TCA cycle);Pyruvate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00020;mtm00620;mtm01100;mtm01110;mtm01200
MYCTH_2298071,Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00620;mtm00630;mtm01100;mtm01110;mtm01200
MYCTH_2298093,Glycerophospholipid metabolism,mtm00564
MYCTH_2298133,Sulfur metabolism;Metabolic pathways,mtm00920;mtm01100
MYCTH_2298134,"Glycine, serine and threonine metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids",mtm00260;mtm00680;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2298163,Phosphonate and phosphinate metabolism;Glycerophospholipid metabolism;Ether lipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00440;mtm00564;mtm00565;mtm01100;mtm01110
MYCTH_2298190,Purine metabolism;Monobactam biosynthesis;Selenocompound metabolism;Sulfur metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00230;mtm00261;mtm00450;mtm00920;mtm01100;mtm01110
MYCTH_2298226,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2298230,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2298234,Base excision repair,mtm03410
MYCTH_2298243,Autophagy - other;Autophagy - yeast,mtm04136;mtm04138
MYCTH_2298248,Spliceosome,mtm03040
MYCTH_2298252,Ribosome,mtm03010
MYCTH_2298281,Lysine degradation;Metabolic pathways,mtm00310;mtm01100
MYCTH_2298287,RNA degradation,mtm03018
MYCTH_2298309,Pentose phosphate pathway;Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00030;mtm00230;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2298342,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2298352,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways,mtm00510;mtm00513;mtm01100
MYCTH_2298354,Ubiquitin mediated proteolysis;Protein processing in endoplasmic reticulum,mtm04120;mtm04141
MYCTH_2298355,Spliceosome,mtm03040
MYCTH_2298386,Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00010;mtm00030;mtm00500;mtm00520;mtm01100;mtm01110;mtm01200
MYCTH_2298434,Spliceosome,mtm03040
MYCTH_2298452,Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Fructose and mannose metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00010;mtm00030;mtm00051;mtm00680;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2298464,mRNA surveillance pathway;Spliceosome,mtm03015;mtm03040
MYCTH_2298476,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2298482,Ribosome,mtm03010
MYCTH_2298487,Proteasome,mtm03050
MYCTH_2298517,Cysteine and methionine metabolism;Taurine and hypotaurine metabolism;Metabolic pathways,mtm00270;mtm00430;mtm01100
MYCTH_2298524,DNA replication;Base excision repair;Nucleotide excision repair,mtm03030;mtm03410;mtm03420
MYCTH_2298528,Spliceosome,mtm03040
MYCTH_2298561,Oxidative phosphorylation;Metabolic pathways;Phagosome,mtm00190;mtm01100;mtm04145
MYCTH_2298562,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00790;mtm01100;mtm01240
MYCTH_2298566,Cell cycle - yeast,mtm04111
MYCTH_2298614,"Fatty acid degradation;Valine, leucine and isoleucine degradation;Lysine degradation;Tryptophan metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Butanoate metabolism;Terpenoid backbone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid metabolism",mtm00071;mtm00280;mtm00310;mtm00380;mtm00620;mtm00630;mtm00640;mtm00650;mtm00900;mtm01100;mtm01110;mtm01200;mtm01212
MYCTH_2298622,Endocytosis,mtm04144
MYCTH_2298637,Endocytosis,mtm04144
MYCTH_2298656,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2298657,Mismatch repair,mtm03430
MYCTH_2298672,DNA replication;Cell cycle - yeast;Meiosis - yeast,mtm03030;mtm04111;mtm04113
MYCTH_2298702,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2298705,DNA replication;Base excision repair;Nucleotide excision repair;Mismatch repair;Homologous recombination,mtm03030;mtm03410;mtm03420;mtm03430;mtm03440
MYCTH_2298711,Peroxisome,mtm04146
MYCTH_2298714,Inositol phosphate metabolism;Metabolic pathways,mtm00562;mtm01100
MYCTH_2298717,Endocytosis,mtm04144
MYCTH_2298723,Various types of N-glycan biosynthesis;Metabolic pathways,mtm00513;mtm01100
MYCTH_2298731,RNA polymerase,mtm03020
MYCTH_2298741,Spliceosome,mtm03040
MYCTH_2298745,"Pyrimidine metabolism;Glycine, serine and threonine metabolism;Metabolic pathways",mtm00240;mtm00260;mtm01100
MYCTH_2298766,Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00564;mtm01100;mtm01110
MYCTH_2298784,Butanoate metabolism;Metabolic pathways,mtm00650;mtm01100
MYCTH_2298795,Protein export,mtm03060
MYCTH_2298826,MAPK signaling pathway - yeast,mtm04011
MYCTH_2298881,Terpenoid backbone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00900;mtm01100;mtm01110
MYCTH_2298906,Proteasome,mtm03050
MYCTH_2298914,Metabolic pathways,mtm01100
MYCTH_2298927,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2298929,MAPK signaling pathway - yeast,mtm04011
MYCTH_2298958,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2298982,Arginine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,mtm00220;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2298987,RNA degradation;Spliceosome,mtm03018;mtm03040
MYCTH_2298996,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm01100;mtm01110;mtm01240
MYCTH_2298998,Non-homologous end-joining,mtm03450
MYCTH_2299007,Glycerophospholipid metabolism;Ether lipid metabolism;Arachidonic acid metabolism;Linoleic acid metabolism;alpha-Linolenic acid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00564;mtm00565;mtm00590;mtm00591;mtm00592;mtm01100;mtm01110
MYCTH_2299023,"Pyrimidine metabolism;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of cofactors",mtm00240;mtm00250;mtm01100;mtm01240
MYCTH_2299032,Vitamin B6 metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00750;mtm01100;mtm01240
MYCTH_2299040,SNARE interactions in vesicular transport,mtm04130
MYCTH_2299056,Folate biosynthesis;Metabolic pathways,mtm00790;mtm01100
MYCTH_2299077,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2299084,N-Glycan biosynthesis;Metabolic pathways,mtm00510;mtm01100
MYCTH_2299088,Steroid biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00100;mtm00909;mtm01100;mtm01110
MYCTH_2299092,Protein export,mtm03060
MYCTH_2299099,Autophagy - yeast;Protein processing in endoplasmic reticulum,mtm04138;mtm04141
MYCTH_2299100,Glycerophospholipid metabolism,mtm00564
MYCTH_2299107,Pyruvate metabolism;Metabolic pathways,mtm00620;mtm01100
MYCTH_2299129,Pentose phosphate pathway;Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00030;mtm00230;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2299133,Endocytosis,mtm04144
MYCTH_2299136,Basal transcription factors,mtm03022
MYCTH_2299155,Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system,mtm00562;mtm01100;mtm04070
MYCTH_2299181,Biotin metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00780;mtm01100;mtm01240
MYCTH_2299183,Biotin metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00780;mtm01100;mtm01240
MYCTH_2299195,Proteasome,mtm03050
MYCTH_2299207,Pyrimidine metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00240;mtm01100;mtm01240
MYCTH_2299267,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_2299268,mRNA surveillance pathway,mtm03015
MYCTH_2299273,Nitrogen metabolism;Metabolic pathways,mtm00910;mtm01100
MYCTH_2299276,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2299299,Mitophagy - yeast,mtm04139
MYCTH_2299321,Vitamin B6 metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00750;mtm01100;mtm01240
MYCTH_2299349,"Valine, leucine and isoleucine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",mtm00290;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2299355,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2299360,Fatty acid biosynthesis;Fatty acid degradation;Metabolic pathways;Fatty acid metabolism;Peroxisome,mtm00061;mtm00071;mtm01100;mtm01212;mtm04146
MYCTH_2299371,N-Glycan biosynthesis;Metabolic pathways,mtm00510;mtm01100
MYCTH_2299388,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2299402,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_2299407,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2299427,Pentose phosphate pathway;Metabolic pathways,mtm00030;mtm01100
MYCTH_2299438,Peroxisome,mtm04146
MYCTH_2299448,Fatty acid biosynthesis;Biotin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism;Biosynthesis of cofactors,mtm00061;mtm00780;mtm01100;mtm01110;mtm01212;mtm01240
MYCTH_2299450,N-Glycan biosynthesis;Metabolic pathways,mtm00510;mtm01100
MYCTH_2299495,Amino sugar and nucleotide sugar metabolism,mtm00520
MYCTH_2299507,Glycerophospholipid metabolism;Ether lipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Endocytosis,mtm00564;mtm00565;mtm01100;mtm01110;mtm04144
MYCTH_2299521,Aminoacyl-tRNA biosynthesis;Metabolic pathways,mtm00970;mtm01100
MYCTH_2299553,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2299569,beta-Alanine metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00410;mtm00770;mtm01100;mtm01110;mtm01240
MYCTH_2299571,Mitophagy - yeast,mtm04139
MYCTH_2299583,Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00230;mtm01100;mtm01110
MYCTH_2299590,Galactose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00052;mtm00520;mtm01100
MYCTH_2299597,"Valine, leucine and isoleucine biosynthesis;Butanoate metabolism;C5-Branched dibasic acid metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",mtm00290;mtm00650;mtm00660;mtm00770;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2299621,Ribosome,mtm03010
MYCTH_2299645,Sphingolipid metabolism;Metabolic pathways,mtm00600;mtm01100
MYCTH_2299664,Cysteine and methionine metabolism;Metabolic pathways,mtm00270;mtm01100
MYCTH_2299676,Pentose phosphate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00030;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2299715,Fatty acid biosynthesis;Aflatoxin biosynthesis;Pyruvate metabolism;Propanoate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism,mtm00061;mtm00254;mtm00620;mtm00640;mtm01100;mtm01110;mtm01212
MYCTH_2299719,Purine metabolism;Metabolic pathways,mtm00230;mtm01100
MYCTH_2299739,Tryptophan metabolism;Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;MAPK signaling pathway - yeast;Peroxisome,mtm00380;mtm00630;mtm01100;mtm01110;mtm01200;mtm04011;mtm04146
MYCTH_2299742,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2299749,"Glycine, serine and threonine metabolism;Metabolic pathways",mtm00260;mtm01100
MYCTH_2299780,Starch and sucrose metabolism;Metabolic pathways,mtm00500;mtm01100
