Gene,KEGG_definition,KEGG
MYCTH_111934,"Valine, leucine and isoleucine degradation;Butanoate metabolism;Terpenoid backbone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites",mtm00280;mtm00650;mtm00900;mtm01100;mtm01110
MYCTH_112014,Glycolysis / Gluconeogenesis;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Glycerolipid metabolism;Pyruvate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00010;mtm00040;mtm00053;mtm00561;mtm00620;mtm01100;mtm01110;mtm01240
MYCTH_112121,Glycolysis / Gluconeogenesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00010;mtm01100;mtm01110
MYCTH_112159,Steroid biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00100;mtm00909;mtm01100;mtm01110
MYCTH_112204,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_112227,Pentose phosphate pathway;Metabolic pathways,mtm00030;mtm01100
MYCTH_112306,Cysteine and methionine metabolism;Selenocompound metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00270;mtm00450;mtm01100;mtm01110;mtm01230
MYCTH_112329,Steroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00100;mtm01100;mtm01110
MYCTH_112442,Proteasome,mtm03050
MYCTH_112491,Meiosis - yeast,mtm04113
MYCTH_112612,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm01100;mtm01110;mtm01240
MYCTH_112686,Spliceosome;Protein processing in endoplasmic reticulum;Endocytosis,mtm03040;mtm04141;mtm04144
MYCTH_112916,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_112996,Tyrosine metabolism;Phenylalanine metabolism;Tryptophan metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00350;mtm00360;mtm00380;mtm01100;mtm01110
MYCTH_113236,Glycerolipid metabolism;Metabolic pathways,mtm00561;mtm01100
