ncbi-proteinid:XP_003666848,mtm:MYCTH_104267
ncbi-proteinid:XP_003666708,mtm:MYCTH_104380
ncbi-proteinid:XP_003666702,mtm:MYCTH_104386
ncbi-proteinid:XP_003665867,mtm:MYCTH_104551
ncbi-proteinid:XP_003665838,mtm:MYCTH_104570
ncbi-proteinid:XP_003665824,mtm:MYCTH_104582
ncbi-proteinid:XP_003665776,mtm:MYCTH_104628
ncbi-proteinid:XP_003665734,mtm:MYCTH_104665
ncbi-proteinid:XP_003665724,mtm:MYCTH_104673
ncbi-proteinid:XP_003665723,mtm:MYCTH_104674
ncbi-proteinid:XP_003660947,mtm:MYCTH_104717
ncbi-proteinid:XP_003660929,mtm:MYCTH_104726
ncbi-proteinid:XP_003660781,mtm:MYCTH_104802
ncbi-proteinid:XP_003660737,mtm:MYCTH_104827
ncbi-proteinid:XP_003660636,mtm:MYCTH_104887
ncbi-proteinid:XP_003660548,mtm:MYCTH_104936
ncbi-proteinid:XP_003660526,mtm:MYCTH_104945
ncbi-proteinid:XP_003660489,mtm:MYCTH_104959
ncbi-proteinid:XP_003660406,mtm:MYCTH_105006
ncbi-proteinid:XP_003660318,mtm:MYCTH_105063
ncbi-proteinid:XP_003660292,mtm:MYCTH_105072
ncbi-proteinid:XP_003666214,mtm:MYCTH_105128
ncbi-proteinid:XP_003666211,mtm:MYCTH_105130
ncbi-proteinid:XP_003666164,mtm:MYCTH_105157
ncbi-proteinid:XP_003666094,mtm:MYCTH_105197
ncbi-proteinid:XP_003665927,mtm:MYCTH_105286
ncbi-proteinid:XP_003660059,mtm:MYCTH_105318
ncbi-proteinid:XP_003660208,mtm:MYCTH_105405
ncbi-proteinid:XP_003666434,mtm:MYCTH_105482
ncbi-proteinid:XP_003658417,mtm:MYCTH_105575
ncbi-proteinid:XP_003658466,mtm:MYCTH_105600
ncbi-proteinid:XP_003658549,mtm:MYCTH_105650
ncbi-proteinid:XP_003658586,mtm:MYCTH_105669
ncbi-proteinid:XP_003658750,mtm:MYCTH_105777
ncbi-proteinid:XP_003658764,mtm:MYCTH_105786
ncbi-proteinid:XP_003658825,mtm:MYCTH_105822
ncbi-proteinid:XP_003658868,mtm:MYCTH_105847
ncbi-proteinid:XP_003658902,mtm:MYCTH_105869
ncbi-proteinid:XP_003659082,mtm:MYCTH_105966
ncbi-proteinid:XP_003665236,mtm:MYCTH_10609
ncbi-proteinid:XP_003659647,mtm:MYCTH_106293
ncbi-proteinid:XP_003659727,mtm:MYCTH_106343
ncbi-proteinid:XP_003659737,mtm:MYCTH_106346
ncbi-proteinid:XP_003659839,mtm:MYCTH_106388
ncbi-proteinid:XP_003659948,mtm:MYCTH_106442
ncbi-proteinid:XP_003659989,mtm:MYCTH_106463
ncbi-proteinid:XP_003662441,mtm:MYCTH_106502
ncbi-proteinid:XP_003662399,mtm:MYCTH_106527
ncbi-proteinid:XP_003662271,mtm:MYCTH_106599
ncbi-proteinid:XP_003662256,mtm:MYCTH_106609
ncbi-proteinid:XP_003662244,mtm:MYCTH_106618
ncbi-proteinid:XP_003662007,mtm:MYCTH_106768
ncbi-proteinid:XP_003661959,mtm:MYCTH_106798
ncbi-proteinid:XP_003661926,mtm:MYCTH_106819
ncbi-proteinid:XP_003661908,mtm:MYCTH_106827
ncbi-proteinid:XP_003661649,mtm:MYCTH_106950
ncbi-proteinid:XP_003661376,mtm:MYCTH_107095
ncbi-proteinid:XP_003665688,mtm:MYCTH_10713
ncbi-proteinid:XP_003661305,mtm:MYCTH_107134
ncbi-proteinid:XP_003661291,mtm:MYCTH_107142
ncbi-proteinid:XP_003661247,mtm:MYCTH_107168
ncbi-proteinid:XP_003661228,mtm:MYCTH_107178
ncbi-proteinid:XP_003661202,mtm:MYCTH_107186
ncbi-proteinid:XP_003661092,mtm:MYCTH_107255
ncbi-proteinid:XP_003663605,mtm:MYCTH_107295
ncbi-proteinid:XP_003663249,mtm:MYCTH_107458
ncbi-proteinid:XP_003663164,mtm:MYCTH_107520
ncbi-proteinid:XP_003663059,mtm:MYCTH_107580
ncbi-proteinid:XP_003662866,mtm:MYCTH_107689
ncbi-proteinid:XP_003662801,mtm:MYCTH_107723
ncbi-proteinid:XP_003662737,mtm:MYCTH_107763
ncbi-proteinid:XP_003662684,mtm:MYCTH_107796
ncbi-proteinid:XP_003662567,mtm:MYCTH_107866
ncbi-proteinid:XP_003662518,mtm:MYCTH_107891
ncbi-proteinid:XP_003664590,mtm:MYCTH_107972
ncbi-proteinid:XP_003664578,mtm:MYCTH_107976
ncbi-proteinid:XP_003664427,mtm:MYCTH_108044
ncbi-proteinid:XP_003664393,mtm:MYCTH_108061
ncbi-proteinid:XP_003664319,mtm:MYCTH_108098
ncbi-proteinid:XP_003664280,mtm:MYCTH_108115
ncbi-proteinid:XP_003664212,mtm:MYCTH_108157
ncbi-proteinid:XP_003663986,mtm:MYCTH_108294
ncbi-proteinid:XP_003663969,mtm:MYCTH_108304
ncbi-proteinid:XP_003663945,mtm:MYCTH_108314
ncbi-proteinid:XP_003663942,mtm:MYCTH_108317
ncbi-proteinid:XP_003663767,mtm:MYCTH_108391
ncbi-proteinid:XP_003663716,mtm:MYCTH_108407
ncbi-proteinid:XP_003663690,mtm:MYCTH_108416
ncbi-proteinid:XP_003665575,mtm:MYCTH_108475
ncbi-proteinid:XP_003665519,mtm:MYCTH_108493
ncbi-proteinid:XP_003665506,mtm:MYCTH_108501
ncbi-proteinid:XP_003665501,mtm:MYCTH_108504
ncbi-proteinid:XP_003665407,mtm:MYCTH_108565
ncbi-proteinid:XP_003665312,mtm:MYCTH_108615
ncbi-proteinid:XP_003665277,mtm:MYCTH_108627
ncbi-proteinid:XP_003665031,mtm:MYCTH_108765
ncbi-proteinid:XP_003664987,mtm:MYCTH_108781
ncbi-proteinid:XP_003664865,mtm:MYCTH_108836
ncbi-proteinid:XP_003664748,mtm:MYCTH_108890
ncbi-proteinid:XP_003667365,mtm:MYCTH_108924
ncbi-proteinid:XP_003667135,mtm:MYCTH_109046
ncbi-proteinid:XP_003667091,mtm:MYCTH_109078
ncbi-proteinid:XP_003666894,mtm:MYCTH_109194
ncbi-proteinid:XP_003666821,mtm:MYCTH_109232
ncbi-proteinid:XP_003666546,mtm:MYCTH_109373
ncbi-proteinid:XP_003666535,mtm:MYCTH_109377
ncbi-proteinid:XP_003665777,mtm:MYCTH_109444
ncbi-proteinid:XP_003660950,mtm:MYCTH_109499
ncbi-proteinid:XP_003660910,mtm:MYCTH_109510
ncbi-proteinid:XP_003660875,mtm:MYCTH_109530
ncbi-proteinid:XP_003660873,mtm:MYCTH_109533
ncbi-proteinid:XP_003660860,mtm:MYCTH_109542
ncbi-proteinid:XP_003660789,mtm:MYCTH_109566
ncbi-proteinid:XP_003660638,mtm:MYCTH_109620
ncbi-proteinid:XP_003660582,mtm:MYCTH_109638
ncbi-proteinid:XP_003660281,mtm:MYCTH_109756
ncbi-proteinid:XP_003666213,mtm:MYCTH_109790
ncbi-proteinid:XP_003666204,mtm:MYCTH_109795
ncbi-proteinid:XP_003666159,mtm:MYCTH_109817
ncbi-proteinid:XP_003666154,mtm:MYCTH_109821
ncbi-proteinid:XP_003666029,mtm:MYCTH_109870
ncbi-proteinid:XP_003666014,mtm:MYCTH_109876
ncbi-proteinid:XP_003665956,mtm:MYCTH_109897
ncbi-proteinid:XP_003665897,mtm:MYCTH_109914
ncbi-proteinid:XP_003664228,mtm:MYCTH_10995
ncbi-proteinid:XP_003660167,mtm:MYCTH_109978
ncbi-proteinid:XP_003666316,mtm:MYCTH_110022
ncbi-proteinid:XP_003666349,mtm:MYCTH_110028
ncbi-proteinid:XP_003666385,mtm:MYCTH_110038
ncbi-proteinid:XP_003666403,mtm:MYCTH_110042
ncbi-proteinid:XP_003666443,mtm:MYCTH_110061
ncbi-proteinid:XP_003658636,mtm:MYCTH_110187
ncbi-proteinid:XP_003658901,mtm:MYCTH_110298
ncbi-proteinid:XP_003658959,mtm:MYCTH_110317
ncbi-proteinid:XP_003659357,mtm:MYCTH_110470
ncbi-proteinid:XP_003659366,mtm:MYCTH_110475
ncbi-proteinid:XP_003659443,mtm:MYCTH_110510
ncbi-proteinid:XP_003659471,mtm:MYCTH_110532
ncbi-proteinid:XP_003659483,mtm:MYCTH_110536
ncbi-proteinid:XP_003659726,mtm:MYCTH_110640
ncbi-proteinid:XP_003659754,mtm:MYCTH_110651
ncbi-proteinid:XP_003659812,mtm:MYCTH_110670
ncbi-proteinid:XP_003659819,mtm:MYCTH_110674
ncbi-proteinid:XP_003659943,mtm:MYCTH_110717
ncbi-proteinid:XP_003662411,mtm:MYCTH_110792
ncbi-proteinid:XP_003662362,mtm:MYCTH_110806
ncbi-proteinid:XP_003662326,mtm:MYCTH_110817
ncbi-proteinid:XP_003662318,mtm:MYCTH_110821
ncbi-proteinid:XP_003662206,mtm:MYCTH_110871
ncbi-proteinid:XP_003662137,mtm:MYCTH_110897
ncbi-proteinid:XP_003662055,mtm:MYCTH_110931
ncbi-proteinid:XP_003662017,mtm:MYCTH_110951
ncbi-proteinid:XP_003662008,mtm:MYCTH_110956
ncbi-proteinid:XP_003661850,mtm:MYCTH_111030
ncbi-proteinid:XP_003661845,mtm:MYCTH_111035
ncbi-proteinid:XP_003661844,mtm:MYCTH_111036
ncbi-proteinid:XP_003661715,mtm:MYCTH_111073
ncbi-proteinid:XP_003661661,mtm:MYCTH_111088
ncbi-proteinid:XP_003661627,mtm:MYCTH_111107
ncbi-proteinid:XP_003661460,mtm:MYCTH_111172
ncbi-proteinid:XP_003661457,mtm:MYCTH_111173
ncbi-proteinid:XP_003661348,mtm:MYCTH_111214
ncbi-proteinid:XP_003661059,mtm:MYCTH_111314
ncbi-proteinid:XP_003663642,mtm:MYCTH_111331
ncbi-proteinid:XP_003663441,mtm:MYCTH_111372
