Gene,GOID,DEFINITION,ONTOLOGY,TERM
MYCTH_2309261,GO:0003994,"Catalysis of the reaction: citrate = isocitrate. The reaction occurs in two steps: (1) citrate = cis-aconitate + H2O, (2) cis-aconitate + H2O = isocitrate. This reaction is the interconversion of citrate and isocitrate via the labile, enzyme-bound intermediate cis-aconitate. Water is removed from one part of the citrate molecule and added back to a different atom to form isocitrate.",MF,aconitate hydratase activity
MYCTH_2070352,GO:0031047,Any process in which RNA molecules inactivate expression of target genes.,BP,gene silencing by RNA
MYCTH_2295873,GO:0008233,Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.,MF,peptidase activity
MYCTH_2306594,GO:0016740,"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.",MF,transferase activity
MYCTH_2306594,GO:0009058,The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.,BP,biosynthetic process
MYCTH_2306594,GO:0004475,Catalysis of the reaction: alpha-D-mannose 1-phosphate + GTP = diphosphate + GDP-alpha-D-mannose.,MF,mannose-1-phosphate guanylyltransferase activity
MYCTH_2305582,GO:0000981,Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF,"DNA-binding transcription factor activity, RNA polymerase II-specific"
MYCTH_2305582,GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding
MYCTH_2315249,GO:0003735,The action of a molecule that contributes to the structural integrity of the ribosome.,MF,structural constituent of ribosome
MYCTH_2315249,GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding
MYCTH_2297939,GO:0003968,"Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1); uses an RNA template, i.e. the catalysis of RNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time.",MF,RNA-directed 5'-3' RNA polymerase activity
MYCTH_86143,GO:0006631,"The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis.",BP,fatty acid metabolic process
MYCTH_86143,GO:0016491,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.",MF,oxidoreductase activity
MYCTH_2304900,GO:0008483,"Catalysis of the transfer of an amino group to an acceptor, usually a 2-oxo acid.",MF,transaminase activity
MYCTH_2304900,GO:0003824,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",MF,catalytic activity
MYCTH_2304900,GO:0003867,Catalysis of the reaction: 4-aminobutanoate + amino group acceptor = succinate semialdehyde + amino acid.,MF,4-aminobutyrate transaminase activity
MYCTH_2315602,GO:0042254,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis.",BP,ribosome biogenesis
