Sample Number	Sample ID	Run	Series ID	Study Title	Species	Strain	Model	Library Strategy	Sample Name	Carbon Sources	Temperature
F01002014	GSM5556650,GSM5556651	SRR15712836,SRR15712837	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	BS7.8	Illumina NovaSeq 6000	RNA-Seq	BS7.8_Clr1_SS_R1,BS7.8_Clr1_SS_R2	Glucose	45°
F01002015	GSM5556652,GSM5556653	SRR15712838,SRR15712839	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	BS7.8	Illumina NovaSeq 6000	RNA-Seq	BS7.8_Clr1_t1_R1,BS7.8_Clr1_t1_R2	Cellulose 	45°
F01002016	GSM5556654,GSM5556655	SRR15712840,SRR15712841	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	BS7.8	Illumina NovaSeq 6000	RNA-Seq	BS7.8_Clr1_t2_R1,BS7.8_Clr1_t2_R2	Cellulose 	45°
F01002017	GSM5556656,GSM5556657	SRR15712842,SRR15712843	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	BS7.8	Illumina NovaSeq 6000	RNA-Seq	BS7.8_Clr1_t3_R1,BS7.8_Clr1_t3_R2	Cellulose 	45°
F01002018	GSM5556658,GSM5556659	SRR15712844,SRR15712845	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	BS7.8	Illumina NovaSeq 6000	RNA-Seq	BS7.8_Clr1_t4_R1,BS7.8_Clr1_t4_R2	Cellulose 	45°
F01002019	GSM5556660,GSM5556661	SRR15712846,SRR15712847	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	JK2.8 	Illumina NovaSeq 6000	RNA-Seq	JK2.8_Clr4_ex_R1,JK2.8_Clr4_ex_R2	Glucose	45°
F01002020	GSM5556662,GSM5556663	SRR15712848,SRR15712849	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	JK2.8 	Illumina NovaSeq 6000	RNA-Seq	JK2.8_Clr4_SS_R1,JK2.8_Clr4_SS_R2	Glucose	45°
F01002021	GSM5556664,GSM5556665	SRR15712850,SRR15712851	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	JK2.8 	Illumina NovaSeq 6000	RNA-Seq	JK2.8_Clr4_t1_R1,JK2.8_Clr4_t1_R2	Cellulose 	45°
F01002022	GSM5556666,GSM5556667	SRR15712852,SRR15712853	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	JK2.8 	Illumina NovaSeq 6000	RNA-Seq	JK2.8_Clr4_t2_R1,JK2.8_Clr4_t2_R2	Cellulose 	45°
F01002023	GSM5556668,GSM5556669	SRR15712854,SRR15712855	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	JK2.8 	Illumina NovaSeq 6000	RNA-Seq	JK2.8_Clr4_t3_R1,JK2.8_Clr4_t3_R2	Cellulose 	45°
F01002024	GSM5556670,GSM5556671,GSM5556672	SRR15712856,SRR15712857,SRR15712858	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	JK2.8 	Illumina NovaSeq 6000	RNA-Seq	JK2.8_Clr4_t4_R1,JK2.8_Clr4_t4_R2_flowcell1,JK2.8_Clr4_t4_R2_flowcell2	Cellulose 	45°
F01003001	GSM5577203,GSM5577204,GSM5577205	SRR15886252,SRR15886253,SRR15886254	GSE184074	Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2000	RNA-Seq	T35_1,T35_2,T35_3	Glucose	35°
F01003002	GSM5577206,GSM5577207,GSM5577208	SRR15886255,SRR15886256,SRR15886257	GSE184074	Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2000	RNA-Seq	T40_2,T40_3,T40_4	Glucose	40°
F01003003	GSM5577209,GSM5577210,GSM5577211	SRR15886258,SRR15886259,SRR15886248	GSE184074	Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2000	RNA-Seq	T45_1,T45_2,T45_3	Glucose	45°
F01003004	GSM5577212,GSM5577201,GSM5577202	SRR15886249,SRR15886250,SRR15886251	GSE184074	Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2000	RNA-Seq	T50_1,T50_2,T50_3	Glucose	50°
F01004001	GSM6206886,GSM6206887,GSM6206888	SRR19454725,SRR19454724,SRR19454723	GSE205182	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2000	RNA-Seq	Mycth_90344_A4h_1,Mycth_90344_A4h_2,Mycth_90344_A4h_3	Glucose	45°
F01004002	GSM6206889,GSM6206890,GSM6206891	SRR19454722,SRR19454721,SRR19454720	GSE205182	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2000	RNA-Seq	Mycth_90344_A6h_1,Mycth_90344_A6h_2,Mycth_90344_A6h_3	Glucose	45°
F01004003	GSM6206892,GSM6206893,GSM6206894	SRR19454719,SRR19454718,SRR19454717	GSE205182	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2000	RNA-Seq	Mycth_90344_S4h_1,Mycth_90344_S4h_2,Mycth_90344_S4h_3	Glucose	45°
F01004004	GSM6206895,GSM6206896,GSM6206897	SRR19454716,SRR19454715,SRR19454714	GSE205182	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	Myceliphothora thermophila	wild type	Illumina HiSeq 2000	RNA-Seq	WT_A4h_1,WT_A4h_2,WT_A4h_3	Glucose	45°
F01004005	GSM6206898,GSM6206899,GSM6206900	SRR19454713,SRR19454712,SRR19454711	GSE205182	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	Myceliphothora thermophila	wild type	Illumina HiSeq 2000	RNA-Seq	WT_A6h_1,WT_A6h_2,WT_A6h_3	Glucose	45°
F01004006	GSM6206901,GSM6206902,GSM6206903	SRR19454710,SRR19454709,SRR19454708	GSE205182	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	Myceliphothora thermophila	wild type	Illumina HiSeq 2000	RNA-Seq	WT_S4h_1,WT_S4h_2,WT_S4h_3	Glucose	45°
F01005001	GSM6597671,GSM6597672	SRR21682016,SRR21682015	GSE214002	Weimberg pathway an alternative for utilization of D-xylose for Myceliophthora thermophila	Myceliphothora thermophila	JG207	DNBSEQ-G400	RNA-Seq	JG207-1,JG207-2	Glucose	45°
F01005002	GSM6597673,GSM6597674	SRR21682014,SRR21682013	GSE214002	Weimberg pathway an alternative for utilization of D-xylose for Myceliophthora thermophila	Myceliphothora thermophila	DF1102	DNBSEQ-G400	RNA-Seq	DF1102-1,DF1102-2	Glucose	45°
F01005003	GSM6597675,GSM6597676	SRR21682012,SRR21682011	GSE214002	Weimberg pathway an alternative for utilization of D-xylose for Myceliophthora thermophila	Myceliphothora thermophila	DF1406	DNBSEQ-G400	RNA-Seq	DF1406-1,DF1406-2	Glucose	45°
F01005004	GSM6597677,GSM6597678	SRR21682010,SRR21682009	GSE214002	Weimberg pathway an alternative for utilization of D-xylose for Myceliophthora thermophila	Myceliphothora thermophila	DF1501	DNBSEQ-G400	RNA-Seq	DF1501-1,DF1501-2	Glucose	45°
F01006001	GSM6600079,GSM6600080	SRR21702087,SRR21702086	GSE214142	Dissecting the functional roles of PFK-2/ FBPase-2 in filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila	ATCC 42464	DNBSEQ-G400	RNA-Seq	WT_2D_1,WT_2D_2	Glucose	45°
F01006002	GSM6600081,GSM6600082	SRR21702085,SRR21702084	GSE214142	Dissecting the functional roles of PFK-2/ FBPase-2 in filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila	ATCC 42464	DNBSEQ-G400	RNA-Seq	WT_4D_1,WT_4D_2	Glucose	45°
F01006003	GSM6600083,GSM6600084	SRR21702083,SRR21702082	GSE214142	Dissecting the functional roles of PFK-2/ FBPase-2 in filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila	ATCC 42464	DNBSEQ-G400	RNA-Seq	Δpfk2_a_2D_1,Δpfk2_a_2D_2	Glucose	45°
F01006004	GSM6600085,GSM6600086	SRR21702081,SRR21702080	GSE214142	Dissecting the functional roles of PFK-2/ FBPase-2 in filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila	ATCC 42464	DNBSEQ-G400	RNA-Seq	Δpfk2_a_4D_1,Δpfk2_a_4D_2	Glucose	45°
F01006005	GSM6600087,GSM6600088	SRR21702079,SRR21702078	GSE214142	Dissecting the functional roles of PFK-2/ FBPase-2 in filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila	ATCC 42464	DNBSEQ-G400	RNA-Seq	Δpfk2_b_2D_1,Δpfk2_b_2D_2	Glucose	45°
F01006006	GSM6600089,GSM6600090	SRR21702077,SRR21702076	GSE214142	Dissecting the functional roles of PFK-2/ FBPase-2 in filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila	ATCC 42464	DNBSEQ-G400	RNA-Seq	Δpfk2_c_2D_1,Δpfk2_c_2D_2	Glucose	45°
F01006007	GSM6600091,GSM6600092	SRR21702075,SRR21702074	GSE214142	Dissecting the functional roles of PFK-2/ FBPase-2 in filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila	ATCC 42464	DNBSEQ-G400	RNA-Seq	Δpfk2_c_4D_1,Δpfk2_c_4D_2	Glucose	45°
F01006008	GSM6600093,GSM6600094	SRR21702073,SRR21702072	GSE214142	Dissecting the functional roles of PFK-2/ FBPase-2 in filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila	ATCC 42464	DNBSEQ-G400	RNA-Seq	Δpfk2_abc_2D_1,Δpfk2_abc_2D_2	Glucose	45°
F01006009	GSM6600095,GSM6600096	SRR21702071,SRR21702070	GSE214142	Dissecting the functional roles of PFK-2/ FBPase-2 in filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila	ATCC 42464	DNBSEQ-G400	RNA-Seq	Δpfk2_abc_4D_1,Δpfk2_abc_4D_2	Glucose	45°
F01007001	GSM2977199,GSM2977200	SRR6666444,SRR6666445	GSE110062	Transcriptional landscape of Myceliophthora thermophila responding to soluble starch and the role of regulator AmyR on polysaccharide degradation	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2000	RNA-Seq	NoCarbon4h_1,NoCarbon4h_2	NoCarbon	45°
F01007002	GSM2977201,GSM2977202	SRR6666446,SRR6666447	GSE110062	Transcriptional landscape of Myceliophthora thermophila responding to soluble starch and the role of regulator AmyR on polysaccharide degradation	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2000	RNA-Seq	Glucose4h_1,Glucose4h_2	Glucose	45°
F01007003	GSM2977203,GSM2977204	SRR6666448,SRR6666449	GSE110062	Transcriptional landscape of Myceliophthora thermophila responding to soluble starch and the role of regulator AmyR on polysaccharide degradation	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2000	RNA-Seq	Starch4h_1,Starch4h_2	Starch	45°
F01008001	GSM3048706,GSM3048707	SRR6854517,SRR6854518	GSE111986	A novel conserved transcription factor CLR-4 regulates cellulase genes expression through controlling the intracellular cAMP level in ascomycete fungi	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2000	RNA-Seq	Mtclr-4_4h_1,Mtclr-4_4h_2	Glucose	45°
F01008002	GSM3048708,GSM3048709	SRR6854519,SRR6854520	GSE111986	A novel conserved transcription factor CLR-4 regulates cellulase genes expression through controlling the intracellular cAMP level in ascomycete fungi	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2000	RNA-Seq	MtWT_4h_1,MtWT_4h_2	Glucose	45°
F01009001	GSM3131641,GSM3131642	SRR7121115,SRR7121116	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2500	RNA-Seq	Avi_WT-1,Avi_WT-2	Avicel	45°
F01009002	GSM3131643,GSM3131644	SRR7121117,SRR7121118	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila	JG141	Illumina HiSeq 2500	RNA-Seq	Avi_JG141-1,Avi_JG141-2	Avicel	45°
F01009003	GSM3131645,GSM3131646,GSM3131647	SRR7121119,SRR7121120,SRR7121121	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila	JG207	Illumina HiSeq 2500	RNA-Seq	Avi_JG207-1,Avi_JG207-2,Avi_JG207-3	Avicel	45°
F01009004	GSM3131648,GSM3131649	SRR7121122,SRR7121123	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila	JG207Ncclr2	Illumina HiSeq 2500	RNA-Seq	Avi_JG207Ncclr2-1,Avi_JG207Ncclr2-2	Avicel	45°
F01009005	GSM3131650,GSM3131651	SRR7121124,SRR7121125	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila	JG336	Illumina HiSeq 2500	RNA-Seq	Avi_JG336-1,Avi_JG336-2	Avicel	45°
F01009006	GSM3131652,GSM3131653	SRR7121126,SRR7121127	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2500	RNA-Seq	Glu_WT-1,Glu_WT-2	Glucose	45°
F01009007	GSM3131654,GSM3131655	SRR7121128,SRR7121129	GSE114057	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	Myceliphothora thermophila	JG207	Illumina HiSeq 2500	RNA-Seq	Glu_JG207-1,Glu_JG207-2	Glucose	45°
F01010001	GSM1377689	SRR1267418	GSE57235	Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile)	Myceliphothora thermophila	ATCC 42464	Illumina Genome Analyzer II	RNA-Seq	oat_45C	Oat	45°
F01010002	GSM1377690	SRR1267419	GSE57235	Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile)	Myceliphothora thermophila	ATCC 42464	Illumina Genome Analyzer II	RNA-Seq	triticale_45C	Triticale	45°
F01010003	GSM1377691	SRR1267420	GSE57235	Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile)	Myceliphothora thermophila	ATCC 42464	Illumina Genome Analyzer II	RNA-Seq	canola_45C	Canola	45°
F01010004	GSM1377692	SRR1267421	GSE57235	Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile)	Myceliphothora thermophila	ATCC 42464	Illumina Genome Analyzer II	RNA-Seq	flax_45C	Flax	45°
F01011001	GSM4074527,GSM4074528	SRR10099850,SRR10099851	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	wild type	Illumina HiSeq 2000	RNA-Seq	wt_Glucose 2 h R1,wt_Glucose 2 h R2	Glucose	37°
F01011002	GSM4074529,GSM4074530	SRR10099852,SRR10099853	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	wild type	Illumina HiSeq 2000	RNA-Seq	wt_Xylose 2 h R1,wt_Xylose 2 h R2	Xylose	37°
F01011003	GSM4074531,GSM4074532	SRR10099854,SRR10099855	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	wild type	Illumina HiSeq 2000	RNA-Seq	wt_Arabinose 2 h R1,wt_Arabinose 2 h R2	Arabinose	37°
F01011004	GSM4074533,GSM4074534	SRR10099856,SRR10099857	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	wild type	Illumina HiSeq 2000	RNA-Seq	wt_Arabinoxylan 2 h R1,wt_Arabinoxylan 2 h R2	Arabinoxylan	37°
F01011005	GSM4074535,GSM4074536	SRR10099858,SRR10099859	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	wild type	Illumina HiSeq 2000	RNA-Seq	wt_Arabinoxylan 8 h R1,wt_Arabinoxylan 8 h R2	Arabinoxylan	37°
F01011006	GSM4074537,GSM4074538	SRR10099860,SRR10099861	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Xyr1 mutant	Illumina HiSeq 2000	RNA-Seq	DXyr1_Glucose 2 h R1,DXyr1_Glucose 2h R2	Glucose	37°
F01011007	GSM4074539,GSM4074540	SRR10099862,SRR10099863	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Xyr1 mutant	Illumina HiSeq 2000	RNA-Seq	DXyr1_Xylose 2h R1,DXyr1_Xylose 2 h R2	Xylose	37°
F01011008	GSM4074541,GSM4074542	SRR10099864,SRR10099865	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Xyr1 mutant	Illumina HiSeq 2000	RNA-Seq	DXyr1_Arabinose 2 h R1,DXyr1_Arabinose 2 h R2	Arabinose	37°
F01011009	GSM4074543,GSM4074544	SRR10099866,SRR10099867	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Xyr1 mutant	Illumina HiSeq 2000	RNA-Seq	DXyr1_Arabinoxylan 2 h R1,DXyr1_Arabinoxylan 2 h R2	Arabinoxylan	37°
F01011010	GSM4074545,GSM4074546	SRR10099868,SRR10099869	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Xyr1 mutant	Illumina HiSeq 2000	RNA-Seq	DXyr1_Arabinoxylan 8 h R1,DXyr1_Arabinoxylan 8 h R2	Arabinoxylan	37°
F01012001	GSM5035228,GSM5035229	SRR13529925,SRR13529926	GSE165516	Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization	Myceliphothora thermophila	ATCC 42464	Illumina HiSeq 2000	RNA-Seq	WT-NoC-1,WT-NoC-2	NoCarbon	45°
