Sample ID	Sample Name	Experiment	Run	Series Accession	Study Title	Species	Model	Library Seletion	Library Source	Library Strategy	Samples	Strain	Carbon Sources	Temperature	Time	Year
mt003002	GSM2977201,GSM2977202	 SRX3643307, SRX3643308	SRR6666446,SRR6666447	GSE110062	Transcriptional landscape of Myceliophthora thermophila responding to soluble starch and the role of regulator AmyR on polysaccharide degradation	Myceliphothora thermophila ATCC 42464	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	Glucose4h_1,Glucose4h_2	wt	Glucose	45°	4h	2018 Oct
mt003003	GSM2977203,GSM2977204	 SRX3643309, SRX3643310	SRR6666448,SRR6666449	GSE110062	Transcriptional landscape of Myceliophthora thermophila responding to soluble starch and the role of regulator AmyR on polysaccharide degradation	Myceliphothora thermophila ATCC 42464	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	Starch4h_1,Starch4h_2	wt	Starch	45°	4h	2018 Oct
mt004001	GSM4074527,GSM4074528	 SRX6831800, SRX6831801	SRR10099850,SRR10099851	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	wt_Glucose 2 h R1,wt_Glucose 2 h R2	wt	Glucose	37°	2h	2019
mt004002	GSM4074529,GSM4074530	 SRX6831802, SRX6831803	SRR10099852,SRR10099853	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	wt_Xylose 2 h R1,wt_Xylose 2 h R2	wt	Xylose	37°	2h	2019
mt004003	GSM4074531,GSM4074532	 SRX6831804, SRX6831805	SRR10099854,SRR10099855	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	wt_Arabinose 2 h R1,wt_Arabinose 2 h R2	wt	Arabinose	37°	2h	2019
mt004004	GSM4074533,GSM4074534	 SRX6831806, SRX6831807	SRR10099856,SRR10099857	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	wt_Arabinoxylan 2 h R1,wt_Arabinoxylan 2 h R2	wt	Arabinoxylan	37°	2h	2019
mt004005	GSM4074535,GSM4074536	 SRX6831808, SRX6831809	SRR10099858,SRR10099859	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	wt_Arabinoxylan 8 h R1,wt_Arabinoxylan 8 h R2	wt	Arabinoxylan	37°	8h	2019
mt004006	GSM4074537,GSM4074538	 SRX6831810, SRX6831811	SRR10099860,SRR10099861	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	DXyr1_Glucose 2 h R1,DXyr1_Glucose 2h R2	Xyr1 mutant	Glucose	37°	2h	2019
mt004007	GSM4074539,GSM4074540	 SRX6831812, SRX6831813	SRR10099862,SRR10099863	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	DXyr1_Xylose 2h R1,DXyr1_Xylose 2 h R2	Xyr1 mutant	Xylose	37°	2h	2019
mt004008	GSM4074541,GSM4074542	 SRX6831814, SRX6831815	SRR10099864,SRR10099865	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	DXyr1_Arabinose 2 h R1,DXyr1_Arabinose 2 h R2	Xyr1 mutant	Arabinose	37°	2h	2019
mt004009	GSM4074543,GSM4074544	 SRX6831816, SRX6831817	SRR10099866,SRR10099867	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	DXyr1_Arabinoxylan 2 h R1,DXyr1_Arabinoxylan 2 h R2	Xyr1 mutant	Arabinoxylan	37°	2h	2019
mt004010	GSM4074545,GSM4074546	 SRX6831818, SRX6831819	SRR10099868,SRR10099869	GSE137286	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	DXyr1_Arabinoxylan 8 h R1,DXyr1_Arabinoxylan 8 h R2	Xyr1 mutant	Arabinoxylan	37°	8h	2019
